id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,12,12,f,35,237,709,1,31,d,1
2,12,12,f,35,562,685,1,34,d,1
3,12,12,f,35,557,951,1,37,d,1
4,12,12,f,35,511,641,1,40,d,1
5,12,12,f,35,310,649,1,43,d,0
6,12,12,f,35,514,814,1,40,d,1
7,12,12,f,35,290,888,1,43,d,0
8,12,12,f,35,267,661,1,40,d,0
9,12,12,f,35,243,919,1,37,d,1
10,12,12,f,35,167,654,1,40,d,0
11,12,12,f,35,384,714,1,38,d,0
12,12,12,f,35,433,944,1,36,d,1
13,12,12,f,35,210,912,1,38,d,1
14,12,12,f,35,345,692,1,40,d,0
15,12,12,f,35,455,936,1,38,d,1
16,12,12,f,35,546,728,1,40,d,1
17,12,12,f,35,615,925,1,42,d,1
18,12,12,f,35,368,911,1,44,d,1
19,12,12,f,35,592,845,1,46,d,1
20,12,12,f,35,229,878,1,48,d,1
21,12,12,f,35,274,673,1,50,d,1
22,12,12,f,35,201,895,1,52,d,1
23,12,12,f,35,300,701,1,54,d,1
24,12,12,f,35,174,896,1,56,d,1
25,12,12,f,35,303,702,1,58,d,1
