id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,zrj-add-1d1d,24,M,45,267,809,1,48,d,0
2,zrj-add-1d1d,24,M,45,250,928,1,45,d,0
3,zrj-add-1d1d,24,M,45,552,696,1,42,d,0
4,zrj-add-1d1d,24,M,45,280,698,1,39,d,0
5,zrj-add-1d1d,24,M,45,307,913,1,36,d,0
6,zrj-add-1d1d,24,M,45,379,647,1,33,d,0
7,zrj-add-1d1d,24,M,45,284,836,1,30,d,1
8,zrj-add-1d1d,24,M,45,257,934,1,33,d,0
9,zrj-add-1d1d,24,M,45,427,799,1,30,d,1
10,zrj-add-1d1d,24,M,45,620,833,1,33,d,1
11,zrj-add-1d1d,24,M,45,560,648,1,36,d,0
12,zrj-add-1d1d,24,M,45,273,830,1,33,d,0
13,zrj-add-1d1d,24,M,45,438,934,1,30,d,0
14,zrj-add-1d1d,24,M,45,241,917,1,27,d,1
15,zrj-add-1d1d,24,M,45,155,725,1,29,d,1
16,zrj-add-1d1d,24,M,45,396,729,1,31,d,1
17,zrj-add-1d1d,24,M,45,598,909,1,33,d,0
18,zrj-add-1d1d,24,M,45,449,688,1,31,d,1
19,zrj-add-1d1d,24,M,45,579,863,1,33,d,0
20,zrj-add-1d1d,24,M,45,523,676,1,31,d,0
21,zrj-add-1d1d,24,M,45,207,670,1,29,d,1
22,zrj-add-1d1d,24,M,45,482,646,1,31,d,1
23,zrj-add-1d1d,24,M,45,236,886,1,33,d,0
24,zrj-add-1d1d,24,M,45,147,686,1,32,d,0
25,zrj-add-1d1d,24,M,45,362,740,1,31,d,0
26,zrj-add-1d1d,24,M,45,576,731,1,30,d,1
27,zrj-add-1d1d,24,M,45,272,649,1,31,d,1
28,zrj-add-1d1d,24,M,45,423,767,1,32,d,0
29,zrj-add-1d1d,24,M,45,144,696,1,31,d,0
30,zrj-add-1d1d,24,M,45,430,808,1,30,d,1
31,zrj-add-1d1d,24,M,45,508,935,1,31,d,0
32,zrj-add-1d1d,24,M,45,283,799,1,30,d,0
33,zrj-add-1d1d,24,M,45,616,855,1,29,d,1
