id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,zyn-add,27,M,43,304,687,2,93,d,0
2,zyn-add,27,M,43,473,822,2,82,d,1
3,zyn-add,27,M,43,578,908,2,93,d,1
4,zyn-add,27,M,43,391,727,2,104,d,1
5,zyn-add,27,M,43,301,896,2,115,d,0
6,zyn-add,27,M,43,307,686,2,104,d,0
7,zyn-add,27,M,43,287,894,2,93,d,0
8,zyn-add,27,M,43,409,692,2,82,d,1
9,zyn-add,27,M,43,437,897,2,93,d,1
10,zyn-add,27,M,43,277,753,2,104,d,1
11,zyn-add,27,M,43,246,897,2,115,d,0
12,zyn-add,27,M,43,296,710,2,104,d,1
13,zyn-add,27,M,43,289,899,2,111,d,1
14,zyn-add,27,M,43,347,695,2,118,d,1
15,zyn-add,27,M,43,503,851,2,125,d,1
16,zyn-add,27,M,43,212,764,2,132,d,0
17,zyn-add,27,M,43,391,881,2,125,d,1
18,zyn-add,27,M,43,259,723,2,132,d,0
19,zyn-add,27,M,43,288,892,2,125,d,1
20,zyn-add,27,M,43,536,808,2,132,d,1
21,zyn-add,27,M,43,373,703,2,139,d,1
22,zyn-add,27,M,43,531,842,2,146,d,1
23,zyn-add,27,M,43,430,878,2,153,d,1
24,zyn-add,27,M,43,486,874,2,160,d,1
25,zyn-add,27,M,43,443,871,2,167,d,1
26,zyn-add,27,M,43,260,780,2,174,d,1
27,zyn-add,27,M,43,324,864,2,181,d,1
28,zyn-add,27,M,43,464,727,2,188,d,0
29,zyn-add,27,M,43,442,862,2,185,d,1
30,zyn-add,27,M,43,432,860,2,188,d,1
31,zyn-add,27,M,43,294,721,2,191,d,0
32,zyn-add,27,M,43,317,860,2,188,d,1
33,zyn-add,27,M,43,268,859,2,191,d,0
34,zyn-add,27,M,43,429,721,2,188,d,1
35,zyn-add,27,M,43,146,537,1,4,a,1
36,zyn-add,27,M,43,612,738,1,1,a,0
37,zyn-add,27,M,43,218,860,1,4,a,0
38,zyn-add,27,M,43,266,641,1,7,a,1
39,zyn-add,27,M,43,182,885,1,4,a,1
40,zyn-add,27,M,43,588,754,1,1,a,0
41,zyn-add,27,M,43,202,772,1,4,a,1
42,zyn-add,27,M,43,142,954,1,1,a,1
43,zyn-add,27,M,43,461,753,1,0,a,0
44,zyn-add,27,M,43,209,805,1,2,a,0
45,zyn-add,27,M,43,420,744,1,4,a,1
46,zyn-add,27,M,43,445,951,1,2,a,1
47,zyn-add,27,M,43,408,697,1,0,a,0
48,zyn-add,27,M,43,410,927,1,2,a,1
49,zyn-add,27,M,43,498,738,1,0,a,1
50,zyn-add,27,M,43,560,920,1,0,a,1
51,zyn-add,27,M,43,467,632,1,0,a,0
52,zyn-add,27,M,43,241,741,1,2,a,0
53,zyn-add,27,M,43,532,790,1,4,a,0
54,zyn-add,27,M,43,393,647,1,6,a,1
55,zyn-add,27,M,43,620,925,1,5,a,1
56,zyn-add,27,M,43,486,770,1,4,a,1
57,zyn-add,27,M,43,490,953,1,3,a,1
58,zyn-add,27,M,43,341,662,1,2,a,1
59,zyn-add,27,M,43,207,878,1,1,a,0
60,zyn-add,27,M,43,341,730,1,2,a,1
61,zyn-add,27,M,43,397,932,1,1,a,0
62,zyn-add,27,M,43,414,651,1,2,a,1
63,zyn-add,27,M,43,578,805,1,1,a,0
