id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,dsadasda,dsadasda,dsadasda,37,350,902,2,126,d,1
2,dsadasda,dsadasda,dsadasda,37,249,729,2,137,d,1
3,dsadasda,dsadasda,dsadasda,37,376,883,2,148,d,0
4,dsadasda,dsadasda,dsadasda,37,484,695,2,137,d,1
5,dsadasda,dsadasda,dsadasda,37,413,877,2,148,d,1
6,dsadasda,dsadasda,dsadasda,37,235,728,2,159,d,0
7,dsadasda,dsadasda,dsadasda,37,226,893,2,148,d,1
8,dsadasda,dsadasda,dsadasda,37,437,792,2,159,d,1
9,dsadasda,dsadasda,dsadasda,37,239,766,2,170,d,1
10,dsadasda,dsadasda,dsadasda,37,507,819,2,181,d,0
