id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,dasda,23,F,40,377,867,2,140,d,0
2,dasda,23,F,40,551,744,2,129,d,0
3,dasda,23,F,40,385,899,2,118,d,1
4,dasda,23,F,40,208,784,2,129,d,0
5,dasda,23,F,40,485,777,2,118,d,0
6,dasda,23,F,40,332,905,2,107,d,0
7,dasda,23,F,40,440,710,2,96,d,0
8,dasda,23,F,40,544,883,2,85,d,1
9,dasda,23,F,40,509,691,2,96,d,1
10,dasda,23,F,40,381,870,2,107,d,1
11,dasda,23,F,40,544,678,2,118,d,0
12,dasda,23,F,40,441,885,2,107,d,0
13,dasda,23,F,40,531,680,2,96,d,0
14,dasda,23,F,40,463,881,2,85,d,1
15,dasda,23,F,40,308,746,2,92,d,1
16,dasda,23,F,40,470,897,2,99,d,1
17,dasda,23,F,40,543,687,2,106,d,1
18,dasda,23,F,40,287,693,2,113,d,1
19,dasda,23,F,40,264,896,2,120,d,1
