id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,dssadaa,adasd,asdasda,40,451,677,2,97,d,1
2,dssadaa,adasd,asdasda,40,576,860,2,108,d,1
3,dssadaa,adasd,asdasda,40,357,833,2,119,d,1
4,dssadaa,adasd,asdasda,40,237,896,2,130,d,1
5,dssadaa,adasd,asdasda,40,389,714,2,141,d,0
6,dssadaa,adasd,asdasda,40,428,896,2,130,d,0
7,dssadaa,adasd,asdasda,40,206,685,2,119,d,0
8,dssadaa,adasd,asdasda,40,428,881,2,108,d,1
9,dssadaa,adasd,asdasda,40,266,740,2,119,d,1
10,dssadaa,adasd,asdasda,40,228,896,2,130,d,0
11,dssadaa,adasd,asdasda,40,566,829,2,119,d,0
12,dssadaa,adasd,asdasda,40,206,827,2,108,d,0
13,dssadaa,adasd,asdasda,40,493,751,2,97,d,0
14,dssadaa,adasd,asdasda,40,235,745,2,86,d,1
