id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,xx2,26,F,40,479,855,2,45,a,1
2,xx2,26,F,40,333,685,2,34,a,1
3,xx2,26,F,40,342,915,2,23,a,0
4,xx2,26,F,40,232,697,2,34,a,1
5,xx2,26,F,40,327,933,2,23,a,1
6,xx2,26,F,40,288,731,2,12,a,0
7,xx2,26,F,40,409,910,2,23,a,1
8,xx2,26,F,40,455,677,2,12,a,0
9,xx2,26,F,40,512,870,2,19,a,0
10,xx2,26,F,40,516,647,2,26,a,0
11,xx2,26,F,40,526,924,2,33,a,1
12,xx2,26,F,40,625,678,2,26,a,0
13,xx2,26,F,40,343,765,2,33,a,1
14,xx2,26,F,40,256,940,2,26,a,0
15,xx2,26,F,40,352,699,2,33,a,1
16,xx2,26,F,40,493,937,2,30,a,0
17,xx2,26,F,40,503,719,2,33,a,1
18,xx2,26,F,40,232,925,2,30,a,1
19,xx2,26,F,40,625,685,2,27,a,1
20,xx2,26,F,40,467,913,2,24,a,1
21,xx2,26,F,40,177,877,2,21,a,0
22,xx2,26,F,40,312,728,2,24,a,0
23,xx2,26,F,40,529,867,2,27,a,0
24,xx2,26,F,40,217,794,2,30,a,0
25,xx2,26,F,40,460,684,2,33,a,1
26,xx2,26,F,40,396,865,2,30,a,0
27,xx2,26,F,40,572,771,2,87,d,1
28,xx2,26,F,40,181,809,2,98,d,1
29,xx2,26,F,40,460,787,2,109,d,1
30,xx2,26,F,40,258,716,2,120,d,0
31,xx2,26,F,40,481,798,2,109,d,0
32,xx2,26,F,40,214,890,2,98,d,1
33,xx2,26,F,40,297,702,2,109,d,0
34,xx2,26,F,40,278,905,2,98,d,0
35,xx2,26,F,40,511,848,2,87,d,1
36,xx2,26,F,40,379,703,2,98,d,1
37,xx2,26,F,40,522,837,2,109,d,0
38,xx2,26,F,40,481,910,2,102,d,1
39,xx2,26,F,40,222,840,2,109,d,1
40,xx2,26,F,40,196,903,2,116,d,1
41,xx2,26,F,40,495,767,2,123,d,0
42,xx2,26,F,40,247,861,2,116,d,1
43,xx2,26,F,40,288,900,2,123,d,0
44,xx2,26,F,40,237,711,2,116,d,1
45,xx2,26,F,40,265,900,2,119,d,1
46,xx2,26,F,40,569,820,2,122,d,0
47,xx2,26,F,40,231,847,2,119,d,1
48,xx2,26,F,40,329,680,2,122,d,0
49,xx2,26,F,40,328,874,2,119,d,1
50,xx2,26,F,40,546,852,2,122,d,1
51,xx2,26,F,40,355,891,2,125,d,1
52,xx2,26,F,40,392,699,2,128,d,1
53,xx2,26,F,40,257,885,2,131,d,1
54,xx2,26,F,40,495,692,2,134,d,1
55,xx2,26,F,40,415,883,2,137,d,1
56,xx2,26,F,40,271,729,2,140,d,0
57,xx2,26,F,40,166,841,1,1,a,0
58,xx2,26,F,40,141,633,1,4,a,0
59,xx2,26,F,40,558,713,1,7,a,0
60,xx2,26,F,40,343,713,1,10,a,0
61,xx2,26,F,40,240,900,1,13,a,0
62,xx2,26,F,40,239,644,1,16,a,0
63,xx2,26,F,40,318,901,1,19,a,0
64,xx2,26,F,40,505,740,1,22,a,1
65,xx2,26,F,40,624,933,1,19,a,0
66,xx2,26,F,40,144,940,1,22,a,1
67,xx2,26,F,40,267,675,1,19,a,1
68,xx2,26,F,40,380,883,1,16,a,0
69,xx2,26,F,40,445,691,1,19,a,1
70,xx2,26,F,40,402,904,1,17,a,0
71,xx2,26,F,40,418,637,1,19,a,0
72,xx2,26,F,40,489,903,1,21,a,0
73,xx2,26,F,40,494,645,1,23,a,1
74,xx2,26,F,40,372,843,1,21,a,1
75,xx2,26,F,40,322,651,1,19,a,1
76,xx2,26,F,40,358,859,1,17,a,0
77,xx2,26,F,40,285,628,1,19,a,1
78,xx2,26,F,40,183,835,1,17,a,0
79,xx2,26,F,40,287,629,1,18,a,1
80,xx2,26,F,40,158,906,1,17,a,0
81,xx2,26,F,40,519,861,1,18,a,0
82,xx2,26,F,40,220,764,1,19,a,0
83,xx2,26,F,40,458,685,1,20,a,1
84,xx2,26,F,40,624,848,1,19,a,0
85,xx2,26,F,40,452,654,1,20,a,1
