id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,xx,24,F,40,364,753,3,145,d,1
2,xx,24,F,40,240,879,3,164,d,1
3,xx,24,F,40,475,724,3,183,d,1
4,xx,24,F,40,276,791,3,202,d,0
5,xx,24,F,40,543,794,3,183,d,0
6,xx,24,F,40,422,879,3,164,d,0
7,xx,24,F,40,305,702,3,145,d,1
8,xx,24,F,40,282,879,3,164,d,1
9,xx,24,F,40,304,870,3,183,d,0
10,xx,24,F,40,374,879,3,164,d,1
11,xx,24,F,40,441,870,3,183,d,0
12,xx,24,F,40,495,876,3,171,d,0
13,xx,24,F,40,429,882,3,159,d,1
14,xx,24,F,40,383,876,3,171,d,0
15,xx,24,F,40,395,882,3,159,d,1
16,xx,24,F,40,527,711,3,171,d,0
17,xx,24,F,40,533,882,3,159,d,1
18,xx,24,F,40,472,879,3,165,d,0
19,xx,24,F,40,463,882,3,159,d,1
20,xx,24,F,40,219,839,3,165,d,0
21,xx,24,F,40,307,882,3,159,d,1
22,xx,24,F,40,215,707,3,165,d,0
23,xx,24,F,40,479,692,1,26,d,1
24,xx,24,F,40,259,718,1,29,d,1
25,xx,24,F,40,435,637,1,32,d,1
26,xx,24,F,40,479,830,1,35,d,1
27,xx,24,F,40,579,638,1,38,d,0
28,xx,24,F,40,292,785,1,35,d,0
29,xx,24,F,40,368,945,1,32,d,1
30,xx,24,F,40,484,686,1,35,d,1
31,xx,24,F,40,221,638,1,38,d,0
32,xx,24,F,40,283,883,1,35,d,0
33,xx,24,F,40,429,734,1,32,d,1
34,xx,24,F,40,586,916,1,35,d,1
35,xx,24,F,40,180,670,1,38,d,0
36,xx,24,F,40,593,812,1,36,d,1
37,xx,24,F,40,258,742,1,38,d,0
38,xx,24,F,40,231,934,1,36,d,0
39,xx,24,F,40,149,651,1,34,d,0
40,xx,24,F,40,258,913,1,32,d,0
41,xx,24,F,40,272,646,1,30,d,1
42,xx,24,F,40,196,914,1,32,d,1
43,xx,24,F,40,341,674,1,34,d,1
44,xx,24,F,40,249,911,1,36,d,0
45,xx,24,F,40,186,653,1,34,d,0
46,xx,24,F,40,461,845,1,32,d,1
47,xx,24,F,40,588,652,1,33,d,0
48,xx,24,F,40,158,737,1,32,d,1
49,xx,24,F,40,319,890,1,33,d,1
50,xx,24,F,40,575,640,1,34,d,1
51,xx,24,F,40,470,829,1,35,d,0
52,xx,24,F,40,430,636,1,34,d,1
53,xx,24,F,40,329,812,1,35,d,0
54,xx,24,F,40,555,956,3,2,a,0
55,xx,24,F,40,399,663,3,21,a,0
56,xx,24,F,40,472,934,3,40,a,0
57,xx,24,F,40,545,745,3,59,a,0
58,xx,24,F,40,430,905,3,78,a,1
59,xx,24,F,40,307,719,3,59,a,0
60,xx,24,F,40,356,920,3,78,a,0
61,xx,24,F,40,366,676,3,97,a,1
62,xx,24,F,40,577,671,3,78,a,1
63,xx,24,F,40,386,855,3,59,a,0
64,xx,24,F,40,490,659,3,78,a,0
65,xx,24,F,40,276,691,3,97,a,1
66,xx,24,F,40,390,904,3,85,a,0
67,xx,24,F,40,335,711,3,97,a,1
68,xx,24,F,40,573,694,3,85,a,1
69,xx,24,F,40,236,815,3,73,a,0
70,xx,24,F,40,554,753,3,85,a,1
71,xx,24,F,40,255,919,3,73,a,1
72,xx,24,F,40,442,731,3,61,a,0
73,xx,24,F,40,575,888,3,67,a,0
74,xx,24,F,40,206,667,3,73,a,1
75,xx,24,F,40,519,802,3,67,a,0
76,xx,24,F,40,398,925,3,73,a,0
77,xx,24,F,40,239,742,3,79,a,0
78,xx,24,F,40,190,919,3,85,a,1
79,xx,24,F,40,573,874,3,79,a,0
80,xx,24,F,40,427,726,3,85,a,1
