id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,hj2,28,M,42,431,797,1,34,d,0
2,hj2,28,M,42,167,864,1,31,d,0
3,hj2,28,M,42,507,680,1,28,d,0
4,hj2,28,M,42,530,902,1,26,d,0
5,hj2,28,M,42,399,748,1,26,d,1
6,hj2,28,M,42,563,643,1,29,d,0
7,hj2,28,M,42,169,699,1,26,d,0
8,hj2,28,M,42,309,834,1,26,d,0
9,hj2,28,M,42,322,640,1,26,d,1
10,hj2,28,M,42,251,898,1,28,d,0
11,hj2,28,M,42,481,756,1,26,d,0
12,hj2,28,M,42,199,930,1,26,d,0
13,hj2,28,M,42,416,685,1,26,d,0
14,hj2,28,M,42,534,872,1,26,d,1
15,hj2,28,M,42,210,834,1,27,d,0
16,hj2,28,M,42,247,642,1,26,d,1
17,hj2,28,M,42,191,846,1,27,d,0
18,hj2,28,M,42,180,646,3,61,a,1
19,hj2,28,M,42,613,781,3,42,a,1
20,hj2,28,M,42,379,659,3,23,a,0
21,hj2,28,M,42,406,899,3,42,a,0
22,hj2,28,M,42,592,664,3,61,a,1
23,hj2,28,M,42,200,884,3,42,a,1
24,hj2,28,M,42,428,727,3,23,a,0
25,hj2,28,M,42,279,884,3,42,a,1
26,hj2,28,M,42,180,638,3,23,a,1
27,hj2,28,M,42,503,691,3,4,a,0
28,hj2,28,M,42,352,904,3,16,a,0
29,hj2,28,M,42,245,688,3,28,a,0
30,hj2,28,M,42,250,924,3,40,a,1
31,hj2,28,M,42,154,736,3,28,a,0
32,hj2,28,M,42,444,840,3,40,a,1
33,hj2,28,M,42,419,643,3,28,a,0
34,hj2,28,M,42,585,794,3,40,a,1
35,hj2,28,M,42,316,783,3,34,a,1
36,hj2,28,M,42,553,807,3,28,a,0
37,hj2,28,M,42,185,811,3,34,a,0
38,hj2,28,M,42,199,936,3,40,a,1
39,hj2,28,M,42,601,881,3,34,a,1
40,hj2,28,M,42,543,686,3,28,a,0
41,hj2,28,M,42,231,641,3,34,a,1
42,hj2,28,M,42,366,883,3,28,a,0
43,hj2,28,M,42,282,824,3,244,d,0
44,hj2,28,M,42,284,844,3,225,d,0
45,hj2,28,M,42,479,848,3,206,d,0
46,hj2,28,M,42,422,863,3,187,d,0
47,hj2,28,M,42,509,872,3,168,d,0
48,hj2,28,M,42,496,882,3,149,d,0
49,hj2,28,M,42,332,741,3,130,d,1
50,hj2,28,M,42,270,882,3,149,d,0
51,hj2,28,M,42,574,863,3,130,d,1
52,hj2,28,M,42,208,844,3,149,d,0
53,hj2,28,M,42,256,891,3,130,d,1
54,hj2,28,M,42,320,697,3,142,d,1
55,hj2,28,M,42,545,837,3,154,d,1
56,hj2,28,M,42,479,873,3,166,d,0
57,hj2,28,M,42,467,879,3,154,d,0
58,hj2,28,M,42,333,718,3,142,d,1
59,hj2,28,M,42,393,879,3,154,d,0
60,hj2,28,M,42,348,885,3,142,d,0
61,hj2,28,M,42,242,695,3,130,d,1
62,hj2,28,M,42,442,732,3,142,d,0
63,hj2,28,M,42,387,888,3,136,d,0
64,hj2,28,M,42,351,695,3,130,d,1
65,hj2,28,M,42,435,874,3,136,d,1
66,hj2,28,M,42,315,705,3,142,d,1
67,hj2,28,M,42,413,876,3,148,d,0
68,hj2,28,M,42,449,885,3,142,d,1
69,hj2,28,M,42,476,882,3,148,d,0
70,hj2,28,M,42,263,699,3,142,d,1
