id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,hj,28,M,42,423,868,2,111,d,0
2,hj,28,M,42,491,675,2,100,d,0
3,hj,28,M,42,334,900,2,89,d,1
4,hj,28,M,42,321,690,2,100,d,0
5,hj,28,M,42,570,679,2,89,d,0
6,hj,28,M,42,238,753,2,78,d,1
7,hj,28,M,42,495,768,2,89,d,0
8,hj,28,M,42,229,797,2,78,d,1
9,hj,28,M,42,511,888,2,85,d,0
10,hj,28,M,42,335,696,2,78,d,1
11,hj,28,M,42,508,852,2,85,d,0
12,hj,28,M,42,557,663,2,78,d,1
13,hj,28,M,42,220,808,2,85,d,0
14,hj,28,M,42,370,675,2,82,d,1
15,hj,28,M,42,448,854,2,85,d,0
16,hj,28,M,42,410,665,2,82,d,1
17,hj,28,M,42,421,867,2,85,d,1
18,hj,28,M,42,565,722,2,88,d,0
19,hj,28,M,42,436,910,2,85,d,1
20,hj,28,M,42,542,939,1,3,a,0
21,hj,28,M,42,377,757,1,6,a,0
22,hj,28,M,42,430,943,1,9,a,0
23,hj,28,M,42,365,673,1,12,a,1
24,hj,28,M,42,440,938,1,9,a,0
25,hj,28,M,42,145,735,1,12,a,0
26,hj,28,M,42,298,875,1,15,a,1
27,hj,28,M,42,155,725,1,12,a,0
28,hj,28,M,42,341,653,1,15,a,1
29,hj,28,M,42,342,874,1,13,a,1
30,hj,28,M,42,536,891,1,11,a,0
31,hj,28,M,42,424,650,1,13,a,1
32,hj,28,M,42,301,852,1,11,a,1
33,hj,28,M,42,181,640,1,9,a,0
34,hj,28,M,42,524,720,1,11,a,0
35,hj,28,M,42,201,762,1,13,a,0
36,hj,28,M,42,314,931,1,15,a,1
37,hj,28,M,42,520,737,1,13,a,1
38,hj,28,M,42,549,926,1,11,a,0
39,hj,28,M,42,630,705,1,12,a,0
40,hj,28,M,42,545,934,1,13,a,0
41,hj,28,M,42,500,744,1,14,a,1
42,hj,28,M,42,510,943,1,13,a,1
43,hj,28,M,42,470,659,1,12,a,1
44,hj,28,M,42,600,919,1,11,a,0
45,hj,28,M,42,542,689,1,12,a,1
46,hj,28,M,42,587,889,1,11,a,1
47,hj,28,M,42,294,931,1,10,a,1
48,hj,28,M,42,405,750,1,9,a,0
49,hj,28,M,42,492,940,1,10,a,1
50,hj,28,M,42,618,709,2,6,a,0
51,hj,28,M,42,453,882,2,17,a,0
52,hj,28,M,42,162,742,2,28,a,1
53,hj,28,M,42,401,719,2,17,a,0
54,hj,28,M,42,325,908,2,28,a,1
55,hj,28,M,42,383,698,2,17,a,0
56,hj,28,M,42,491,876,2,28,a,1
57,hj,28,M,42,143,849,2,21,a,0
58,hj,28,M,42,509,925,2,28,a,1
59,hj,28,M,42,468,674,2,21,a,0
60,hj,28,M,42,515,890,2,28,a,1
61,hj,28,M,42,169,641,2,21,a,1
62,hj,28,M,42,402,680,2,14,a,0
63,hj,28,M,42,596,692,2,17,a,0
64,hj,28,M,42,529,936,2,20,a,1
65,hj,28,M,42,241,662,2,17,a,0
66,hj,28,M,42,342,876,2,20,a,1
67,hj,28,M,42,171,650,2,17,a,0
68,hj,28,M,42,480,743,2,20,a,1
