id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,llj2,24,F,38,315,774,3,186,d,1
2,llj2,24,F,38,329,863,3,205,d,0
3,llj2,24,F,38,346,872,3,186,d,0
4,llj2,24,F,38,343,882,3,167,d,0
5,llj2,24,F,38,231,695,3,148,d,0
6,llj2,24,F,38,531,824,3,129,d,1
7,llj2,24,F,38,509,891,3,148,d,1
8,llj2,24,F,38,353,707,3,167,d,0
9,llj2,24,F,38,317,891,3,148,d,1
10,llj2,24,F,38,261,704,3,167,d,0
11,llj2,24,F,38,272,888,3,155,d,0
12,llj2,24,F,38,356,698,3,143,d,1
13,llj2,24,F,38,275,873,3,155,d,0
14,llj2,24,F,38,552,703,3,143,d,1
15,llj2,24,F,38,259,876,3,155,d,0
16,llj2,24,F,38,409,704,3,143,d,0
17,llj2,24,F,38,289,878,3,131,d,1
18,llj2,24,F,38,326,685,3,137,d,1
19,llj2,24,F,38,447,877,3,143,d,1
20,llj2,24,F,38,440,891,3,149,d,0
21,llj2,24,F,38,487,694,3,143,d,0
22,llj2,24,F,38,535,895,3,137,d,0
23,llj2,24,F,38,407,706,3,131,d,1
24,llj2,24,F,38,335,887,3,137,d,1
25,llj2,24,F,38,474,731,3,143,d,0
26,llj2,24,F,38,204,863,3,137,d,1
27,llj2,24,F,38,343,729,3,143,d,0
28,llj2,24,F,38,513,867,2,71,a,1
29,llj2,24,F,38,468,655,2,60,a,0
30,llj2,24,F,38,520,845,2,71,a,1
31,llj2,24,F,38,174,915,2,60,a,1
32,llj2,24,F,38,411,794,2,49,a,0
33,llj2,24,F,38,486,935,2,60,a,0
34,llj2,24,F,38,603,654,2,71,a,0
35,llj2,24,F,38,591,904,2,77,a,1
36,llj2,24,F,38,251,904,2,70,a,1
37,llj2,24,F,38,555,716,2,63,a,0
38,llj2,24,F,38,335,784,2,70,a,0
39,llj2,24,F,38,223,927,2,77,a,1
40,llj2,24,F,38,334,747,2,70,a,1
41,llj2,24,F,38,470,919,2,63,a,0
42,llj2,24,F,38,304,772,2,70,a,1
43,llj2,24,F,38,439,917,2,63,a,0
44,llj2,24,F,38,345,697,2,66,a,0
45,llj2,24,F,38,483,895,2,69,a,1
46,llj2,24,F,38,256,857,2,66,a,0
47,llj2,24,F,38,441,929,2,69,a,0
48,llj2,24,F,38,266,730,2,72,a,1
49,llj2,24,F,38,385,917,2,69,a,1
50,llj2,24,F,38,189,848,2,66,a,0
51,llj2,24,F,38,379,676,2,69,a,0
52,llj2,24,F,38,269,925,2,72,a,1
53,llj2,24,F,38,510,746,3,65,a,0
54,llj2,24,F,38,311,922,3,84,a,0
55,llj2,24,F,38,249,719,3,103,a,0
56,llj2,24,F,38,557,748,3,122,a,0
57,llj2,24,F,38,278,816,3,128,a,0
58,llj2,24,F,38,387,901,3,128,a,1
59,llj2,24,F,38,238,714,3,109,a,0
60,llj2,24,F,38,430,765,3,128,a,1
61,llj2,24,F,38,400,907,3,116,a,0
62,llj2,24,F,38,423,705,3,128,a,0
63,llj2,24,F,38,391,898,3,128,a,1
64,llj2,24,F,38,383,705,3,116,a,0
65,llj2,24,F,38,371,900,3,128,a,1
66,llj2,24,F,38,362,693,3,122,a,1
67,llj2,24,F,38,485,878,3,116,a,0
68,llj2,24,F,38,295,772,3,122,a,1
69,llj2,24,F,38,339,907,3,116,a,0
70,llj2,24,F,38,556,693,3,122,a,0
71,llj2,24,F,38,512,883,3,128,a,1
72,llj2,24,F,38,413,691,3,122,a,0
