id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,llj,24,F,38,288,818,1,20,a,1
2,llj,24,F,38,205,631,1,17,a,0
3,llj,24,F,38,525,862,1,20,a,1
4,llj,24,F,38,228,693,1,17,a,0
5,llj,24,F,38,241,885,1,20,a,1
6,llj,24,F,38,190,670,1,17,a,1
7,llj,24,F,38,604,818,1,14,a,0
8,llj,24,F,38,283,625,1,16,a,1
9,llj,24,F,38,591,877,1,14,a,0
10,llj,24,F,38,450,625,1,16,a,0
11,llj,24,F,38,559,852,1,18,a,1
12,llj,24,F,38,271,944,1,16,a,1
13,llj,24,F,38,609,720,1,14,a,0
14,llj,24,F,38,626,938,1,16,a,1
15,llj,24,F,38,139,668,1,15,a,0
16,llj,24,F,38,223,872,1,16,a,1
17,llj,24,F,38,601,663,1,15,a,0
18,llj,24,F,38,408,773,1,16,a,0
19,llj,24,F,38,274,955,1,17,a,0
20,llj,24,F,38,259,662,1,18,a,1
21,llj,24,F,38,515,853,1,17,a,1
22,llj,24,F,38,378,636,1,16,a,0
23,llj,24,F,38,187,625,2,94,d,1
24,llj,24,F,38,402,819,2,105,d,1
25,llj,24,F,38,448,907,2,116,d,0
26,llj,24,F,38,392,676,2,105,d,0
27,llj,24,F,38,483,916,2,94,d,0
28,llj,24,F,38,430,689,2,83,d,1
29,llj,24,F,38,506,897,2,94,d,0
30,llj,24,F,38,538,696,2,83,d,1
31,llj,24,F,38,590,915,2,94,d,0
32,llj,24,F,38,288,760,2,87,d,0
33,llj,24,F,38,172,921,2,80,d,1
34,llj,24,F,38,250,716,2,87,d,1
35,llj,24,F,38,437,889,2,94,d,0
36,llj,24,F,38,278,668,2,87,d,1
37,llj,24,F,38,585,861,2,94,d,0
38,llj,24,F,38,413,769,2,87,d,1
39,llj,24,F,38,493,920,2,90,d,0
40,llj,24,F,38,455,677,2,87,d,1
41,llj,24,F,38,178,685,2,90,d,1
42,llj,24,F,38,471,871,2,93,d,0
43,llj,24,F,38,296,685,2,90,d,0
44,llj,24,F,38,398,902,2,87,d,1
45,llj,24,F,38,293,724,2,90,d,1
46,llj,24,F,38,296,918,2,93,d,0
47,llj,24,F,38,615,928,1,31,d,1
48,llj,24,F,38,147,642,1,34,d,0
49,llj,24,F,38,516,918,1,31,d,1
50,llj,24,F,38,448,671,1,34,d,1
51,llj,24,F,38,341,839,1,37,d,1
52,llj,24,F,38,587,691,1,40,d,0
53,llj,24,F,38,372,941,1,37,d,0
54,llj,24,F,38,154,796,1,34,d,1
55,llj,24,F,38,612,818,1,37,d,0
56,llj,24,F,38,270,786,1,35,d,1
57,llj,24,F,38,587,825,1,37,d,0
58,llj,24,F,38,322,752,1,35,d,0
59,llj,24,F,38,482,635,1,33,d,1
60,llj,24,F,38,465,881,1,35,d,1
61,llj,24,F,38,166,860,1,37,d,0
62,llj,24,F,38,207,667,1,35,d,1
63,llj,24,F,38,462,802,1,36,d,0
64,llj,24,F,38,174,719,1,35,d,1
65,llj,24,F,38,405,898,1,36,d,1
66,llj,24,F,38,348,661,1,37,d,0
67,llj,24,F,38,463,855,1,36,d,0
68,llj,24,F,38,270,790,1,35,d,1
69,llj,24,F,38,394,640,1,36,d,0
