id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,lly2,24,F,40,531,851,3,107,a,1
2,lly2,24,F,40,240,791,3,88,a,0
3,lly2,24,F,40,385,908,3,107,a,1
4,lly2,24,F,40,418,664,3,88,a,0
5,lly2,24,F,40,292,855,3,107,a,1
6,lly2,24,F,40,341,666,3,88,a,1
7,lly2,24,F,40,539,853,3,69,a,0
8,lly2,24,F,40,586,659,3,81,a,1
9,lly2,24,F,40,210,785,3,69,a,0
10,lly2,24,F,40,225,921,3,81,a,1
11,lly2,24,F,40,342,754,3,69,a,0
12,lly2,24,F,40,267,921,3,81,a,1
13,lly2,24,F,40,345,671,3,75,a,1
14,lly2,24,F,40,366,871,3,69,a,1
15,lly2,24,F,40,572,667,3,63,a,0
16,lly2,24,F,40,320,810,3,69,a,0
17,lly2,24,F,40,422,924,3,75,a,0
18,lly2,24,F,40,257,718,3,81,a,0
19,lly2,24,F,40,411,875,3,87,a,0
20,lly2,24,F,40,483,676,3,93,a,1
21,lly2,24,F,40,501,899,3,87,a,1
22,lly2,24,F,40,295,827,3,81,a,0
23,lly2,24,F,40,555,836,3,87,a,1
24,lly2,24,F,40,257,865,3,81,a,0
25,lly2,24,F,40,262,835,3,241,d,0
26,lly2,24,F,40,289,850,3,222,d,0
27,lly2,24,F,40,493,722,3,203,d,0
28,lly2,24,F,40,472,869,3,184,d,0
29,lly2,24,F,40,346,707,3,165,d,0
30,lly2,24,F,40,418,885,3,146,d,1
31,lly2,24,F,40,419,879,3,165,d,1
32,lly2,24,F,40,492,869,3,184,d,1
33,lly2,24,F,40,418,860,3,203,d,1
34,lly2,24,F,40,338,850,3,222,d,0
35,lly2,24,F,40,295,860,3,203,d,0
36,lly2,24,F,40,303,869,3,184,d,0
37,lly2,24,F,40,409,702,3,165,d,1
38,lly2,24,F,40,419,869,3,184,d,0
39,lly2,24,F,40,532,709,3,165,d,1
40,lly2,24,F,40,371,822,3,177,d,0
41,lly2,24,F,40,336,879,3,165,d,1
42,lly2,24,F,40,243,709,3,177,d,0
43,lly2,24,F,40,250,879,3,165,d,0
44,lly2,24,F,40,511,723,3,153,d,0
45,lly2,24,F,40,451,891,3,141,d,0
46,lly2,24,F,40,218,761,3,129,d,1
47,lly2,24,F,40,300,891,3,141,d,0
48,lly2,24,F,40,249,695,3,135,d,0
49,lly2,24,F,40,204,883,3,129,d,0
50,lly2,24,F,40,352,715,3,128,d,1
51,lly2,24,F,40,486,882,3,134,d,0
52,lly2,24,F,40,520,683,3,128,d,1
53,lly2,24,F,40,437,863,3,134,d,1
54,lly2,24,F,40,438,891,3,140,d,1
55,lly2,24,F,40,450,698,3,146,d,1
56,lly2,24,F,40,326,859,3,152,d,0
57,lly2,24,F,40,468,722,2,79,d,0
58,lly2,24,F,40,239,916,2,77,d,1
59,lly2,24,F,40,203,711,2,88,d,1
60,lly2,24,F,40,371,893,2,99,d,0
61,lly2,24,F,40,298,680,2,88,d,1
62,lly2,24,F,40,503,760,2,99,d,1
63,lly2,24,F,40,276,856,2,110,d,0
64,lly2,24,F,40,193,671,2,103,d,1
65,lly2,24,F,40,249,870,2,110,d,0
66,lly2,24,F,40,417,773,2,103,d,1
67,lly2,24,F,40,306,906,2,110,d,1
68,lly2,24,F,40,531,756,2,117,d,0
69,lly2,24,F,40,267,824,2,110,d,1
70,lly2,24,F,40,429,695,2,113,d,1
71,lly2,24,F,40,484,890,2,116,d,1
72,lly2,24,F,40,280,837,2,119,d,0
73,lly2,24,F,40,280,903,2,116,d,1
74,lly2,24,F,40,560,830,2,119,d,0
75,lly2,24,F,40,335,884,2,116,d,0
76,lly2,24,F,40,489,698,2,113,d,0
77,lly2,24,F,40,257,888,2,110,d,1
78,lly2,24,F,40,185,701,2,113,d,0
