id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,lly,24,F,40,368,818,2,39,a,0
2,lly,24,F,40,213,677,2,50,a,0
3,lly,24,F,40,289,893,2,61,a,1
4,lly,24,F,40,398,695,2,50,a,0
5,lly,24,F,40,394,892,2,61,a,0
6,lly,24,F,40,174,660,2,72,a,1
7,lly,24,F,40,424,892,2,61,a,0
8,lly,24,F,40,280,663,2,72,a,1
9,lly,24,F,40,380,853,2,65,a,0
10,lly,24,F,40,357,655,2,72,a,0
11,lly,24,F,40,560,887,2,77,a,0
12,lly,24,F,40,388,695,2,77,a,0
13,lly,24,F,40,206,823,2,77,a,0
14,lly,24,F,40,306,657,2,77,a,0
15,lly,24,F,40,590,684,2,77,a,0
16,lly,24,F,40,308,793,2,77,a,1
17,lly,24,F,40,319,924,2,74,a,1
18,lly,24,F,40,540,748,2,71,a,0
19,lly,24,F,40,179,729,2,74,a,1
20,lly,24,F,40,533,648,1,36,d,1
21,lly,24,F,40,519,867,1,39,d,0
22,lly,24,F,40,549,657,1,36,d,1
23,lly,24,F,40,285,898,1,39,d,0
24,lly,24,F,40,334,676,1,36,d,1
25,lly,24,F,40,245,868,1,39,d,1
26,lly,24,F,40,343,679,1,42,d,0
27,lly,24,F,40,444,903,1,40,d,1
28,lly,24,F,40,538,717,1,42,d,0
29,lly,24,F,40,275,657,1,40,d,0
30,lly,24,F,40,553,925,1,38,d,0
31,lly,24,F,40,602,667,1,36,d,0
32,lly,24,F,40,430,925,1,34,d,1
33,lly,24,F,40,477,679,1,36,d,1
34,lly,24,F,40,446,889,1,38,d,0
35,lly,24,F,40,215,797,1,36,d,1
36,lly,24,F,40,353,647,1,37,d,1
37,lly,24,F,40,147,672,1,38,d,0
38,lly,24,F,40,362,793,1,37,d,1
39,lly,24,F,40,435,942,1,38,d,0
40,lly,24,F,40,413,704,1,37,d,1
41,lly,24,F,40,499,890,1,38,d,0
42,lly,24,F,40,488,896,1,1,a,0
43,lly,24,F,40,460,673,1,4,a,0
44,lly,24,F,40,367,930,1,7,a,0
45,lly,24,F,40,511,646,1,10,a,0
46,lly,24,F,40,400,847,1,13,a,0
47,lly,24,F,40,337,631,1,16,a,0
48,lly,24,F,40,153,779,1,19,a,0
49,lly,24,F,40,227,950,1,22,a,1
50,lly,24,F,40,469,727,1,19,a,0
51,lly,24,F,40,236,828,1,22,a,1
52,lly,24,F,40,172,640,1,19,a,0
53,lly,24,F,40,554,836,1,22,a,1
54,lly,24,F,40,372,944,1,20,a,1
55,lly,24,F,40,622,704,1,18,a,1
56,lly,24,F,40,465,854,1,16,a,0
57,lly,24,F,40,399,654,1,18,a,0
58,lly,24,F,40,393,859,1,20,a,1
59,lly,24,F,40,376,664,1,18,a,0
60,lly,24,F,40,330,922,1,20,a,1
61,lly,24,F,40,270,733,1,18,a,0
62,lly,24,F,40,162,899,1,19,a,0
63,lly,24,F,40,150,664,1,20,a,0
64,lly,24,F,40,517,912,1,21,a,0
65,lly,24,F,40,307,689,1,22,a,1
66,lly,24,F,40,445,871,1,21,a,1
67,lly,24,F,40,256,664,1,20,a,1
68,lly,24,F,40,280,899,1,19,a,0
69,lly,24,F,40,219,692,1,20,a,0
70,lly,24,F,40,475,758,1,21,a,1
71,lly,24,F,40,192,796,1,20,a,0
72,lly,24,F,40,344,946,1,21,a,0
73,lly,24,F,40,374,695,1,22,a,0
74,lly,24,F,40,363,899,1,23,a,1
