id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,lzx2,23,F,50,259,755,2,49,a,1
2,lzx2,23,F,50,506,692,2,38,a,0
3,lzx2,23,F,50,424,881,2,49,a,0
4,lzx2,23,F,50,423,677,2,60,a,1
5,lzx2,23,F,50,581,843,2,49,a,0
6,lzx2,23,F,50,467,686,2,60,a,1
7,lzx2,23,F,50,329,851,2,49,a,0
8,lzx2,23,F,50,538,892,2,56,a,0
9,lzx2,23,F,50,589,678,2,63,a,1
10,lzx2,23,F,50,446,843,2,56,a,0
11,lzx2,23,F,50,360,908,2,63,a,1
12,lzx2,23,F,50,205,777,2,56,a,1
13,lzx2,23,F,50,397,751,2,49,a,0
14,lzx2,23,F,50,277,903,2,56,a,0
15,lzx2,23,F,50,341,694,2,63,a,1
16,lzx2,23,F,50,492,832,2,60,a,0
17,lzx2,23,F,50,357,675,2,63,a,1
18,lzx2,23,F,50,606,800,2,60,a,1
19,lzx2,23,F,50,224,758,2,57,a,0
20,lzx2,23,F,50,575,847,2,60,a,1
21,lzx2,23,F,50,317,809,2,57,a,0
22,lzx2,23,F,50,188,583,2,107,d,0
23,lzx2,23,F,50,558,698,2,96,d,1
24,lzx2,23,F,50,207,797,2,107,d,0
25,lzx2,23,F,50,554,832,2,96,d,0
26,lzx2,23,F,50,496,897,2,85,d,1
27,lzx2,23,F,50,200,780,2,96,d,1
28,lzx2,23,F,50,383,695,2,107,d,0
29,lzx2,23,F,50,533,830,2,96,d,1
30,lzx2,23,F,50,454,888,2,103,d,1
31,lzx2,23,F,50,237,710,2,110,d,0
32,lzx2,23,F,50,568,703,2,103,d,0
33,lzx2,23,F,50,501,885,2,96,d,1
34,lzx2,23,F,50,195,780,2,103,d,1
35,lzx2,23,F,50,239,884,2,110,d,0
36,lzx2,23,F,50,553,867,2,103,d,1
37,lzx2,23,F,50,256,829,2,110,d,0
38,lzx2,23,F,50,240,886,2,107,d,0
39,lzx2,23,F,50,294,698,2,104,d,0
40,lzx2,23,F,50,183,869,2,101,d,1
41,lzx2,23,F,50,234,887,2,104,d,1
42,lzx2,23,F,50,512,790,2,107,d,0
43,lzx2,23,F,50,448,887,2,104,d,1
44,lzx2,23,F,50,338,726,2,107,d,0
45,lzx2,23,F,50,515,838,2,104,d,0
46,lzx2,23,F,50,316,757,2,101,d,1
47,lzx2,23,F,50,339,787,1,8,a,0
48,lzx2,23,F,50,618,797,1,11,a,1
49,lzx2,23,F,50,569,935,1,8,a,0
50,lzx2,23,F,50,321,863,1,11,a,1
51,lzx2,23,F,50,518,891,1,8,a,0
52,lzx2,23,F,50,257,876,1,11,a,1
53,lzx2,23,F,50,447,908,1,9,a,1
54,lzx2,23,F,50,334,669,1,7,a,0
55,lzx2,23,F,50,377,865,1,9,a,1
56,lzx2,23,F,50,271,671,1,7,a,0
57,lzx2,23,F,50,265,897,1,9,a,1
58,lzx2,23,F,50,245,645,1,7,a,0
59,lzx2,23,F,50,258,933,1,8,a,1
60,lzx2,23,F,50,460,788,1,7,a,0
61,lzx2,23,F,50,277,707,1,8,a,1
62,lzx2,23,F,50,536,782,1,7,a,1
63,lzx2,23,F,50,478,936,1,6,a,1
64,lzx2,23,F,50,286,778,1,5,a,0
65,lzx2,23,F,50,585,688,1,6,a,1
