id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,lzx,23,F,49,206,906,1,44,d,0
2,lzx,23,F,49,560,695,1,41,d,0
3,lzx,23,F,49,204,658,1,38,d,1
4,lzx,23,F,49,376,918,1,41,d,1
5,lzx,23,F,49,518,736,1,44,d,1
6,lzx,23,F,49,440,914,1,47,d,0
7,lzx,23,F,49,292,761,1,44,d,1
8,lzx,23,F,49,293,918,1,47,d,0
9,lzx,23,F,49,517,859,1,44,d,1
10,lzx,23,F,49,288,863,1,46,d,0
11,lzx,23,F,49,362,680,1,44,d,0
12,lzx,23,F,49,595,666,1,42,d,1
13,lzx,23,F,49,504,902,1,44,d,1
14,lzx,23,F,49,203,762,1,46,d,1
15,lzx,23,F,49,245,917,1,48,d,1
16,lzx,23,F,49,323,684,1,50,d,1
17,lzx,23,F,49,605,884,1,52,d,0
18,lzx,23,F,49,278,853,1,50,d,1
19,lzx,23,F,49,297,915,1,52,d,1
20,lzx,23,F,49,361,699,1,54,d,0
21,lzx,23,F,49,227,913,1,53,d,1
22,lzx,23,F,49,556,689,1,54,d,0
23,lzx,23,F,49,383,773,1,53,d,1
24,lzx,23,F,49,385,914,1,54,d,1
25,lzx,23,F,49,244,722,1,55,d,1
26,lzx,23,F,49,404,904,1,56,d,1
27,lzx,23,F,49,438,706,1,57,d,1
28,lzx,23,F,49,544,866,1,58,d,0
29,lzx,23,F,49,468,681,1,57,d,0
30,lzx,23,F,49,392,892,1,56,d,0
31,lzx,23,F,49,235,776,1,55,d,1
32,lzx,23,F,49,225,741,3,76,a,1
33,lzx,23,F,49,252,913,3,57,a,0
34,lzx,23,F,49,536,845,3,76,a,0
35,lzx,23,F,49,326,876,3,95,a,1
36,lzx,23,F,49,555,885,3,76,a,0
37,lzx,23,F,49,414,727,3,95,a,0
38,lzx,23,F,49,213,724,3,114,a,1
39,lzx,23,F,49,320,892,3,95,a,1
40,lzx,23,F,49,578,749,3,76,a,0
41,lzx,23,F,49,458,897,3,88,a,1
42,lzx,23,F,49,190,727,3,76,a,0
43,lzx,23,F,49,381,876,3,88,a,1
44,lzx,23,F,49,463,685,3,76,a,0
45,lzx,23,F,49,558,856,3,88,a,0
46,lzx,23,F,49,258,855,3,100,a,0
47,lzx,23,F,49,193,885,3,112,a,0
48,lzx,23,F,49,516,834,3,124,a,1
49,lzx,23,F,49,255,790,3,118,a,1
50,lzx,23,F,49,193,885,3,112,a,1
51,lzx,23,F,49,461,719,3,106,a,1
52,lzx,23,F,49,183,818,3,100,a,1
53,lzx,23,F,49,470,803,3,94,a,0
54,lzx,23,F,49,477,891,3,100,a,0
55,lzx,23,F,49,349,745,3,106,a,1
56,lzx,23,F,49,503,879,3,100,a,1
57,lzx,23,F,49,378,688,3,94,a,0
58,lzx,23,F,49,440,876,3,100,a,0
59,lzx,23,F,49,430,888,3,106,a,0
60,lzx,23,F,49,232,824,3,112,a,1
61,lzx,23,F,49,577,751,3,106,a,0
62,lzx,23,F,49,524,827,3,175,d,0
63,lzx,23,F,49,455,863,3,156,d,1
64,lzx,23,F,49,446,854,3,175,d,0
65,lzx,23,F,49,222,817,3,156,d,1
66,lzx,23,F,49,320,854,3,175,d,0
67,lzx,23,F,49,219,863,3,156,d,1
68,lzx,23,F,49,440,787,3,168,d,0
69,lzx,23,F,49,274,863,3,156,d,0
70,lzx,23,F,49,493,811,3,144,d,1
71,lzx,23,F,49,209,845,3,156,d,0
72,lzx,23,F,49,553,747,3,144,d,1
73,lzx,23,F,49,217,788,3,156,d,0
74,lzx,23,F,49,250,866,3,150,d,1
75,lzx,23,F,49,309,863,3,156,d,0
76,lzx,23,F,49,564,784,3,150,d,1
77,lzx,23,F,49,426,863,3,156,d,0
78,lzx,23,F,49,365,866,3,150,d,1
