id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,wcm1,24,M,45,348,938,1,23,a,1
2,wcm1,24,M,45,214,660,1,20,a,1
3,wcm1,24,M,45,179,938,1,17,a,1
4,wcm1,24,M,45,549,645,1,14,a,1
5,wcm1,24,M,45,182,768,1,11,a,1
6,wcm1,24,M,45,238,946,1,8,a,1
7,wcm1,24,M,45,173,725,1,5,a,1
8,wcm1,24,M,45,407,684,1,2,a,1
9,wcm1,24,M,45,203,907,1,0,a,1
10,wcm1,24,M,45,238,705,1,0,a,0
11,wcm1,24,M,45,182,900,1,3,a,0
12,wcm1,24,M,45,481,733,1,6,a,0
13,wcm1,24,M,45,223,929,1,9,a,0
14,wcm1,24,M,45,576,760,1,12,a,0
15,wcm1,24,M,45,461,942,1,15,a,1
16,wcm1,24,M,45,489,738,1,12,a,1
17,wcm1,24,M,45,302,826,1,9,a,1
18,wcm1,24,M,45,159,692,1,6,a,0
19,wcm1,24,M,45,359,865,1,9,a,0
20,wcm1,24,M,45,397,655,1,12,a,0
21,wcm1,24,M,45,620,849,1,15,a,1
22,wcm1,24,M,45,440,759,1,12,a,0
23,wcm1,24,M,45,503,941,1,14,a,0
24,wcm1,24,M,45,432,700,1,16,a,1
25,wcm1,24,M,45,170,937,1,14,a,0
26,wcm1,24,M,45,529,671,1,16,a,1
27,wcm1,24,M,45,614,941,1,14,a,0
28,wcm1,24,M,45,138,896,1,16,a,0
29,wcm1,24,M,45,163,660,1,18,a,1
30,wcm1,24,M,45,237,932,1,17,a,1
31,wcm1,24,M,45,505,837,1,16,a,1
32,wcm1,24,M,45,549,640,1,15,a,1
33,wcm1,24,M,45,352,918,1,14,a,0
34,wcm1,24,M,45,606,823,1,15,a,0
35,wcm1,24,M,45,450,698,1,16,a,0
36,wcm1,24,M,45,285,815,1,17,a,0
37,wcm1,24,M,45,362,639,1,18,a,0
38,wcm1,24,M,45,493,816,1,19,a,1
39,wcm1,24,M,45,367,643,1,18,a,1
40,wcm1,24,M,45,281,824,1,17,a,0
41,wcm1,24,M,45,513,918,1,18,a,1
42,wcm1,24,M,45,235,798,1,17,a,1
43,wcm1,24,M,45,615,940,1,16,a,1
44,wcm1,24,M,45,428,800,1,15,a,0
45,wcm1,24,M,45,355,845,1,40,d,1
46,wcm1,24,M,45,280,665,1,43,d,0
47,wcm1,24,M,45,484,863,1,40,d,0
48,wcm1,24,M,45,191,816,1,37,d,1
49,wcm1,24,M,45,616,893,1,40,d,0
50,wcm1,24,M,45,462,697,1,37,d,0
51,wcm1,24,M,45,168,920,1,34,d,0
52,wcm1,24,M,45,604,903,1,31,d,0
53,wcm1,24,M,45,388,681,1,28,d,0
54,wcm1,24,M,45,494,865,1,26,d,0
55,wcm1,24,M,45,620,648,1,26,d,1
56,wcm1,24,M,45,439,782,1,28,d,1
57,wcm1,24,M,45,315,928,1,30,d,0
58,wcm1,24,M,45,267,659,1,28,d,0
59,wcm1,24,M,45,335,882,1,26,d,1
60,wcm1,24,M,45,568,859,1,28,d,1
61,wcm1,24,M,45,232,670,1,30,d,1
62,wcm1,24,M,45,211,901,1,32,d,0
63,wcm1,24,M,45,252,675,1,30,d,1
64,wcm1,24,M,45,232,881,1,31,d,1
65,wcm1,24,M,45,208,682,1,32,d,0
66,wcm1,24,M,45,511,824,1,31,d,0
67,wcm1,24,M,45,622,647,1,30,d,1
68,wcm1,24,M,45,176,918,1,31,d,1
69,wcm1,24,M,45,469,648,1,32,d,0
70,wcm1,24,M,45,433,895,1,31,d,0
71,wcm1,24,M,45,206,768,1,30,d,1
72,wcm1,24,M,45,518,732,1,31,d,1
73,wcm1,24,M,45,349,829,1,32,d,0
74,wcm1,24,M,45,474,928,2,25,a,0
75,wcm1,24,M,45,365,747,2,36,a,0
76,wcm1,24,M,45,350,927,2,47,a,1
77,wcm1,24,M,45,579,665,2,36,a,0
78,wcm1,24,M,45,568,879,2,47,a,0
79,wcm1,24,M,45,483,688,2,58,a,0
80,wcm1,24,M,45,582,856,2,69,a,1
81,wcm1,24,M,45,452,709,2,58,a,1
82,wcm1,24,M,45,184,897,2,47,a,0
83,wcm1,24,M,45,582,893,2,58,a,0
84,wcm1,24,M,45,386,770,2,69,a,1
85,wcm1,24,M,45,531,898,2,62,a,0
86,wcm1,24,M,45,397,693,2,69,a,1
87,wcm1,24,M,45,480,889,2,62,a,1
88,wcm1,24,M,45,226,902,2,55,a,0
89,wcm1,24,M,45,470,736,2,62,a,0
90,wcm1,24,M,45,184,672,2,69,a,1
91,wcm1,24,M,45,495,777,2,62,a,0
92,wcm1,24,M,45,491,918,2,65,a,0
93,wcm1,24,M,45,314,737,2,68,a,0
94,wcm1,24,M,45,566,765,2,71,a,1
95,wcm1,24,M,45,172,776,2,68,a,1
96,wcm1,24,M,45,560,916,2,65,a,1
97,wcm1,24,M,45,170,865,2,62,a,0
98,wcm1,24,M,45,412,849,2,65,a,0
99,wcm1,24,M,45,387,916,2,68,a,0
100,wcm1,24,M,45,346,715,2,71,a,1
101,wcm1,24,M,45,430,898,2,68,a,0
102,wcm1,24,M,45,270,702,2,71,a,1
