id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,wcm,24,M,45,154,938,3,7,a,0
2,wcm,24,M,45,275,688,3,26,a,0
3,wcm,24,M,45,553,912,3,45,a,0
4,wcm,24,M,45,550,674,3,64,a,1
5,wcm,24,M,45,315,720,3,45,a,1
6,wcm,24,M,45,212,916,3,26,a,0
7,wcm,24,M,45,551,810,3,45,a,0
8,wcm,24,M,45,221,756,3,64,a,0
9,wcm,24,M,45,302,909,3,83,a,1
10,wcm,24,M,45,468,774,3,64,a,0
11,wcm,24,M,45,282,879,3,83,a,0
12,wcm,24,M,45,215,681,3,102,a,1
13,wcm,24,M,45,475,692,3,90,a,1
14,wcm,24,M,45,425,899,3,78,a,1
15,wcm,24,M,45,563,715,3,66,a,1
16,wcm,24,M,45,351,918,3,54,a,0
17,wcm,24,M,45,452,709,3,66,a,1
18,wcm,24,M,45,351,918,3,54,a,1
19,wcm,24,M,45,233,678,3,42,a,0
20,wcm,24,M,45,457,736,3,54,a,0
21,wcm,24,M,45,443,917,3,66,a,0
22,wcm,24,M,45,255,736,3,78,a,0
23,wcm,24,M,45,412,861,3,90,a,1
24,wcm,24,M,45,514,679,3,78,a,1
25,wcm,24,M,45,419,847,3,66,a,0
26,wcm,24,M,45,209,755,3,72,a,0
27,wcm,24,M,45,501,689,3,78,a,1
28,wcm,24,M,45,373,859,3,72,a,0
29,wcm,24,M,45,381,911,3,78,a,0
30,wcm,24,M,45,423,710,3,84,a,1
31,wcm,24,M,45,590,819,3,78,a,0
32,wcm,24,M,45,211,716,3,84,a,1
33,wcm,24,M,45,436,871,3,139,d,1
34,wcm,24,M,45,239,808,3,158,d,0
35,wcm,24,M,45,477,814,3,139,d,1
36,wcm,24,M,45,239,862,3,158,d,0
37,wcm,24,M,45,333,881,3,139,d,1
38,wcm,24,M,45,284,871,3,158,d,0
39,wcm,24,M,45,265,877,3,146,d,0
40,wcm,24,M,45,539,751,3,134,d,1
41,wcm,24,M,45,551,877,3,146,d,1
42,wcm,24,M,45,549,871,3,158,d,1
43,wcm,24,M,45,214,743,3,170,d,0
44,wcm,24,M,45,371,870,3,158,d,0
45,wcm,24,M,45,276,703,3,146,d,1
46,wcm,24,M,45,466,852,3,158,d,1
47,wcm,24,M,45,377,865,3,170,d,0
48,wcm,24,M,45,505,711,3,158,d,0
49,wcm,24,M,45,500,877,3,146,d,1
50,wcm,24,M,45,296,851,3,152,d,0
51,wcm,24,M,45,534,807,3,146,d,1
52,wcm,24,M,45,471,874,3,152,d,1
53,wcm,24,M,45,411,871,3,158,d,1
54,wcm,24,M,45,212,818,3,164,d,1
55,wcm,24,M,45,338,865,3,170,d,1
56,wcm,24,M,45,336,862,3,176,d,1
57,wcm,24,M,45,451,859,3,182,d,1
58,wcm,24,M,45,318,856,3,188,d,0
59,wcm,24,M,45,399,859,3,182,d,1
60,wcm,24,M,45,300,856,3,188,d,0
61,wcm,24,M,45,200,827,2,136,d,0
62,wcm,24,M,45,575,749,2,125,d,1
63,wcm,24,M,45,354,819,2,136,d,1
64,wcm,24,M,45,426,877,2,147,d,1
65,wcm,24,M,45,253,742,2,158,d,0
66,wcm,24,M,45,354,877,2,147,d,1
67,wcm,24,M,45,307,871,2,158,d,1
68,wcm,24,M,45,297,866,2,169,d,0
69,wcm,24,M,45,476,734,2,158,d,0
70,wcm,24,M,45,266,835,2,147,d,1
71,wcm,24,M,45,423,714,2,154,d,0
72,wcm,24,M,45,234,873,2,147,d,0
73,wcm,24,M,45,494,779,2,140,d,0
74,wcm,24,M,45,341,884,2,133,d,0
75,wcm,24,M,45,533,699,2,126,d,0
76,wcm,24,M,45,217,882,2,119,d,0
77,wcm,24,M,45,380,756,2,112,d,0
78,wcm,24,M,45,399,898,2,105,d,0
79,wcm,24,M,45,253,724,2,98,d,1
80,wcm,24,M,45,358,895,2,105,d,0
81,wcm,24,M,45,425,709,2,98,d,1
82,wcm,24,M,45,294,859,2,105,d,0
83,wcm,24,M,45,325,899,2,102,d,1
84,wcm,24,M,45,390,686,2,105,d,1
85,wcm,24,M,45,260,889,2,108,d,1
86,wcm,24,M,45,354,717,2,111,d,1
87,wcm,24,M,45,317,893,2,114,d,0
88,wcm,24,M,45,263,694,2,111,d,0
89,wcm,24,M,45,316,890,2,108,d,1
90,wcm,24,M,45,467,718,2,111,d,1
91,wcm,24,M,45,486,893,2,114,d,1
92,wcm,24,M,45,446,704,2,117,d,1
93,wcm,24,M,45,353,888,2,120,d,1
94,wcm,24,M,45,333,695,2,123,d,1
95,wcm,24,M,45,352,886,2,126,d,1
96,wcm,24,M,45,391,694,2,129,d,1
97,wcm,24,M,45,308,869,2,132,d,0
98,wcm,24,M,45,510,794,2,129,d,1
