id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,wjx2,22,M,44,447,788,2,134,d,0
2,wjx2,22,M,44,254,781,2,123,d,0
3,wjx2,22,M,44,209,896,2,112,d,0
4,wjx2,22,M,44,372,697,2,101,d,1
5,wjx2,22,M,44,443,890,2,112,d,0
6,wjx2,22,M,44,407,690,2,101,d,0
7,wjx2,22,M,44,584,798,2,90,d,0
8,wjx2,22,M,44,506,913,2,79,d,1
9,wjx2,22,M,44,251,865,2,90,d,1
10,wjx2,22,M,44,306,679,2,101,d,0
11,wjx2,22,M,44,478,849,2,90,d,1
12,wjx2,22,M,44,426,904,2,97,d,0
13,wjx2,22,M,44,514,673,2,90,d,0
14,wjx2,22,M,44,438,905,2,83,d,1
15,wjx2,22,M,44,544,708,2,90,d,1
16,wjx2,22,M,44,239,762,2,97,d,0
17,wjx2,22,M,44,261,907,2,90,d,0
18,wjx2,22,M,44,536,836,2,83,d,1
19,wjx2,22,M,44,342,782,2,90,d,1
20,wjx2,22,M,44,479,904,2,97,d,1
21,wjx2,22,M,44,500,709,2,104,d,0
22,wjx2,22,M,44,401,886,2,101,d,0
23,wjx2,22,M,44,228,754,2,98,d,0
24,wjx2,22,M,44,392,897,2,95,d,0
25,wjx2,22,M,44,516,712,2,92,d,1
26,wjx2,22,M,44,211,696,2,95,d,1
27,wjx2,22,M,44,238,901,2,98,d,1
28,wjx2,22,M,44,546,787,2,101,d,1
29,wjx2,22,M,44,578,900,2,104,d,0
30,wjx2,22,M,44,281,813,2,101,d,0
31,wjx2,22,M,44,218,903,2,98,d,1
32,wjx2,22,M,44,589,773,2,101,d,1
33,wjx2,22,M,44,210,731,2,104,d,0
34,wjx2,22,M,44,491,756,2,101,d,1
35,wjx2,22,M,44,238,671,1,5,a,0
36,wjx2,22,M,44,506,699,1,8,a,0
37,wjx2,22,M,44,568,892,1,11,a,0
38,wjx2,22,M,44,596,667,1,14,a,0
39,wjx2,22,M,44,609,880,1,17,a,0
40,wjx2,22,M,44,302,738,1,20,a,0
41,wjx2,22,M,44,469,896,1,23,a,0
42,wjx2,22,M,44,236,806,1,26,a,1
43,wjx2,22,M,44,393,917,1,23,a,1
44,wjx2,22,M,44,468,641,1,20,a,1
45,wjx2,22,M,44,192,885,1,17,a,0
46,wjx2,22,M,44,439,638,1,20,a,1
47,wjx2,22,M,44,151,793,1,17,a,0
48,wjx2,22,M,44,450,692,1,20,a,0
49,wjx2,22,M,44,162,816,1,23,a,1
50,wjx2,22,M,44,374,760,1,21,a,1
51,wjx2,22,M,44,351,943,1,19,a,0
52,wjx2,22,M,44,297,735,1,21,a,1
53,wjx2,22,M,44,461,937,1,19,a,1
54,wjx2,22,M,44,365,645,1,17,a,0
55,wjx2,22,M,44,219,841,1,19,a,0
56,wjx2,22,M,44,273,653,1,21,a,1
57,wjx2,22,M,44,461,730,1,19,a,1
58,wjx2,22,M,44,264,726,1,17,a,0
59,wjx2,22,M,44,238,923,1,18,a,0
60,wjx2,22,M,44,258,726,1,19,a,0
61,wjx2,22,M,44,186,919,1,20,a,1
62,wjx2,22,M,44,147,723,1,19,a,1
63,wjx2,22,M,44,518,770,1,18,a,0
64,wjx2,22,M,44,331,650,1,19,a,0
65,wjx2,22,M,44,153,861,1,20,a,1
66,wjx2,22,M,44,429,739,1,19,a,1
67,wjx2,22,M,44,550,907,1,18,a,0
68,wjx2,22,M,44,458,662,1,19,a,1
69,wjx2,22,M,44,543,815,1,46,d,0
70,wjx2,22,M,44,345,655,1,43,d,0
71,wjx2,22,M,44,340,857,1,40,d,0
72,wjx2,22,M,44,376,654,1,37,d,0
73,wjx2,22,M,44,514,925,1,34,d,0
74,wjx2,22,M,44,568,685,1,31,d,0
75,wjx2,22,M,44,425,922,1,28,d,1
76,wjx2,22,M,44,485,645,1,31,d,1
77,wjx2,22,M,44,512,839,1,34,d,0
78,wjx2,22,M,44,282,653,1,31,d,1
79,wjx2,22,M,44,308,930,1,34,d,1
80,wjx2,22,M,44,522,651,1,37,d,1
81,wjx2,22,M,44,391,898,1,40,d,1
82,wjx2,22,M,44,424,659,1,43,d,1
83,wjx2,22,M,44,327,875,1,46,d,0
84,wjx2,22,M,44,467,651,1,43,d,0
85,wjx2,22,M,44,198,891,1,40,d,0
86,wjx2,22,M,44,465,650,1,37,d,1
87,wjx2,22,M,44,336,881,1,39,d,1
88,wjx2,22,M,44,475,714,1,41,d,1
89,wjx2,22,M,44,258,827,1,43,d,0
90,wjx2,22,M,44,319,932,1,41,d,0
91,wjx2,22,M,44,245,682,1,39,d,1
92,wjx2,22,M,44,606,663,1,41,d,1
93,wjx2,22,M,44,232,868,1,43,d,0
94,wjx2,22,M,44,582,820,1,41,d,1
95,wjx2,22,M,44,202,750,1,43,d,1
96,wjx2,22,M,44,321,927,1,45,d,0
97,wjx2,22,M,44,460,740,1,44,d,1
98,wjx2,22,M,44,424,928,1,45,d,0
99,wjx2,22,M,44,261,821,1,44,d,0
100,wjx2,22,M,44,603,710,1,43,d,1
101,wjx2,22,M,44,436,871,1,44,d,1
102,wjx2,22,M,44,469,664,1,45,d,1
103,wjx2,22,M,44,172,845,1,46,d,0
104,wjx2,22,M,44,511,810,1,45,d,1
