id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,wjx,22,M,44,431,738,3,196,d,0
2,wjx,22,M,44,337,864,3,177,d,0
3,wjx,22,M,44,469,714,3,158,d,0
4,wjx,22,M,44,291,869,3,139,d,1
5,wjx,22,M,44,299,873,3,158,d,1
6,wjx,22,M,44,232,864,3,177,d,0
7,wjx,22,M,44,349,710,3,158,d,1
8,wjx,22,M,44,376,864,3,177,d,0
9,wjx,22,M,44,435,873,3,158,d,0
10,wjx,22,M,44,251,811,3,139,d,1
11,wjx,22,M,44,541,775,3,151,d,0
12,wjx,22,M,44,379,878,3,139,d,1
13,wjx,22,M,44,544,760,3,151,d,0
14,wjx,22,M,44,229,712,3,139,d,1
15,wjx,22,M,44,253,877,3,151,d,1
16,wjx,22,M,44,209,871,3,163,d,0
17,wjx,22,M,44,431,812,3,157,d,1
18,wjx,22,M,44,379,871,3,163,d,0
19,wjx,22,M,44,392,874,3,157,d,1
20,wjx,22,M,44,396,871,3,163,d,1
21,wjx,22,M,44,481,868,3,169,d,1
22,wjx,22,M,44,265,722,3,175,d,0
23,wjx,22,M,44,539,850,3,169,d,1
24,wjx,22,M,44,462,719,2,53,a,1
25,wjx,22,M,44,283,649,2,42,a,0
26,wjx,22,M,44,498,807,2,53,a,1
27,wjx,22,M,44,253,905,2,42,a,0
28,wjx,22,M,44,222,676,2,53,a,1
29,wjx,22,M,44,523,703,2,42,a,0
30,wjx,22,M,44,561,904,2,49,a,1
31,wjx,22,M,44,309,672,2,42,a,1
32,wjx,22,M,44,284,898,2,35,a,0
33,wjx,22,M,44,318,695,2,42,a,1
34,wjx,22,M,44,410,871,2,35,a,0
35,wjx,22,M,44,614,655,2,42,a,1
36,wjx,22,M,44,398,858,2,39,a,0
37,wjx,22,M,44,238,744,2,42,a,1
38,wjx,22,M,44,469,899,2,39,a,1
39,wjx,22,M,44,153,782,2,36,a,0
40,wjx,22,M,44,464,770,2,39,a,1
41,wjx,22,M,44,385,934,2,36,a,0
42,wjx,22,M,44,259,886,3,13,a,0
43,wjx,22,M,44,493,680,3,32,a,0
44,wjx,22,M,44,575,874,3,51,a,0
45,wjx,22,M,44,166,833,3,70,a,0
46,wjx,22,M,44,508,778,3,89,a,1
47,wjx,22,M,44,421,917,3,70,a,0
48,wjx,22,M,44,434,682,3,89,a,1
49,wjx,22,M,44,173,716,3,70,a,0
50,wjx,22,M,44,479,875,3,89,a,1
51,wjx,22,M,44,340,724,3,77,a,0
52,wjx,22,M,44,545,869,3,89,a,1
53,wjx,22,M,44,419,667,3,77,a,0
54,wjx,22,M,44,379,888,3,89,a,1
55,wjx,22,M,44,382,680,3,77,a,0
56,wjx,22,M,44,434,904,3,83,a,1
57,wjx,22,M,44,341,721,3,77,a,1
58,wjx,22,M,44,290,913,3,71,a,0
59,wjx,22,M,44,565,797,3,77,a,1
60,wjx,22,M,44,529,917,3,71,a,1
61,wjx,22,M,44,504,711,3,65,a,0
62,wjx,22,M,44,562,911,3,71,a,1
