id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,Ssadsf,fasfdfa,sdasdasda,40,304,828,2,147,d,0
2,Ssadsf,fasfdfa,sdasdasda,40,211,893,2,136,d,0
3,Ssadsf,fasfdfa,sdasdasda,40,253,684,2,125,d,0
4,Ssadsf,fasfdfa,sdasdasda,40,394,871,2,114,d,0
5,Ssadsf,fasfdfa,sdasdasda,40,340,681,2,103,d,0
6,Ssadsf,fasfdfa,sdasdasda,40,207,869,2,92,d,1
7,Ssadsf,fasfdfa,sdasdasda,40,524,787,2,103,d,1
8,Ssadsf,fasfdfa,sdasdasda,40,499,904,2,114,d,1
9,Ssadsf,fasfdfa,sdasdasda,40,371,730,2,125,d,0
10,Ssadsf,fasfdfa,sdasdasda,40,266,897,2,114,d,0
11,Ssadsf,fasfdfa,sdasdasda,40,432,764,2,103,d,1
12,Ssadsf,fasfdfa,sdasdasda,40,310,904,2,114,d,1
13,Ssadsf,fasfdfa,sdasdasda,40,502,822,2,125,d,1
14,Ssadsf,fasfdfa,sdasdasda,40,212,855,2,136,d,1
