id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,dx3,22,F,42,368,754,3,240,d,0
2,dx3,22,F,42,317,846,3,221,d,0
3,dx3,22,F,42,273,855,3,202,d,0
4,dx3,22,F,42,252,865,3,183,d,1
5,dx3,22,F,42,337,855,3,202,d,0
6,dx3,22,F,42,381,865,3,183,d,1
7,dx3,22,F,42,376,855,3,202,d,0
8,dx3,22,F,42,431,865,3,183,d,1
9,dx3,22,F,42,499,859,3,195,d,0
10,dx3,22,F,42,533,865,3,183,d,0
11,dx3,22,F,42,443,871,3,171,d,0
12,dx3,22,F,42,488,877,3,159,d,1
13,dx3,22,F,42,518,871,3,171,d,0
14,dx3,22,F,42,508,877,3,159,d,1
15,dx3,22,F,42,340,710,3,171,d,0
16,dx3,22,F,42,328,874,3,165,d,1
17,dx3,22,F,42,333,871,3,171,d,0
18,dx3,22,F,42,264,874,3,165,d,0
19,dx3,22,F,42,466,854,3,159,d,1
20,dx3,22,F,42,361,874,3,165,d,1
21,dx3,22,F,42,500,721,3,171,d,0
22,dx3,22,F,42,232,860,3,165,d,0
23,dx3,22,F,42,509,704,3,159,d,0
24,dx3,22,F,42,224,797,3,153,d,0
25,dx3,22,F,42,284,883,3,147,d,1
