id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,dx,22,F,42,216,920,1,40,d,0
2,dx,22,F,42,538,859,1,37,d,1
3,dx,22,F,42,189,914,1,40,d,1
4,dx,22,F,42,430,682,1,43,d,1
5,dx,22,F,42,451,879,1,46,d,1
6,dx,22,F,42,497,657,1,49,d,1
7,dx,22,F,42,516,874,1,52,d,1
8,dx,22,F,42,602,674,1,55,d,1
9,dx,22,F,42,305,788,1,58,d,0
10,dx,22,F,42,367,929,1,55,d,1
11,dx,22,F,42,565,680,1,58,d,1
12,dx,22,F,42,272,849,1,61,d,0
13,dx,22,F,42,332,658,1,58,d,1
14,dx,22,F,42,183,794,1,60,d,1
15,dx,22,F,42,466,838,1,62,d,1
16,dx,22,F,42,598,659,1,64,d,1
17,dx,22,F,42,442,791,1,66,d,1
18,dx,22,F,42,309,922,1,68,d,0
19,dx,22,F,42,565,834,1,66,d,0
20,dx,22,F,42,302,790,1,64,d,1
21,dx,22,F,42,192,923,1,66,d,0
22,dx,22,F,42,409,893,1,64,d,0
23,dx,22,F,42,316,720,1,62,d,0
24,dx,22,F,42,252,923,1,60,d,0
25,dx,22,F,42,467,888,1,58,d,1
26,dx,22,F,42,332,737,1,60,d,0
27,dx,22,F,42,518,914,1,59,d,1
28,dx,22,F,42,533,705,1,60,d,1
29,dx,22,F,42,438,925,1,61,d,0
30,dx,22,F,42,471,678,1,60,d,1
31,dx,22,F,42,580,876,1,61,d,1
32,dx,22,F,42,485,682,1,62,d,1
33,dx,22,F,42,593,855,1,63,d,1
34,dx,22,F,42,439,725,1,64,d,0
35,dx,22,F,42,596,869,1,63,d,1
36,dx,22,F,42,386,856,2,22,a,0
37,dx,22,F,42,518,649,2,33,a,0
38,dx,22,F,42,208,895,2,44,a,0
39,dx,22,F,42,391,790,2,55,a,1
40,dx,22,F,42,186,803,2,44,a,1
41,dx,22,F,42,474,801,2,33,a,0
42,dx,22,F,42,551,934,2,44,a,0
43,dx,22,F,42,323,700,2,55,a,1
44,dx,22,F,42,417,925,2,44,a,0
45,dx,22,F,42,583,706,2,55,a,1
46,dx,22,F,42,322,734,2,48,a,0
47,dx,22,F,42,178,890,2,55,a,0
48,dx,22,F,42,607,730,2,62,a,1
49,dx,22,F,42,336,737,2,55,a,0
50,dx,22,F,42,499,851,2,62,a,0
51,dx,22,F,42,193,714,2,69,a,1
52,dx,22,F,42,543,736,2,62,a,1
53,dx,22,F,42,262,727,2,55,a,1
54,dx,22,F,42,406,918,2,48,a,0
55,dx,22,F,42,260,727,2,51,a,0
56,dx,22,F,42,219,927,2,54,a,1
57,dx,22,F,42,403,778,2,51,a,1
58,dx,22,F,42,547,913,2,48,a,0
59,dx,22,F,42,164,751,2,51,a,1
60,dx,22,F,42,356,821,2,48,a,0
61,dx,22,F,42,571,651,2,51,a,0
62,dx,22,F,42,440,848,2,54,a,1
63,dx,22,F,42,260,843,2,82,d,1
64,dx,22,F,42,573,741,2,93,d,1
65,dx,22,F,42,371,819,2,104,d,0
66,dx,22,F,42,415,910,2,93,d,1
67,dx,22,F,42,229,763,2,104,d,0
68,dx,22,F,42,224,910,2,93,d,1
69,dx,22,F,42,519,837,2,104,d,0
70,dx,22,F,42,250,751,2,97,d,0
71,dx,22,F,42,333,911,2,90,d,1
72,dx,22,F,42,245,711,2,97,d,0
73,dx,22,F,42,450,671,2,90,d,1
74,dx,22,F,42,243,773,2,97,d,1
75,dx,22,F,42,331,904,2,104,d,1
76,dx,22,F,42,405,696,2,111,d,0
77,dx,22,F,42,217,846,2,104,d,0
78,dx,22,F,42,526,797,2,97,d,1
79,dx,22,F,42,546,906,2,100,d,0
80,dx,22,F,42,419,719,2,97,d,0
81,dx,22,F,42,329,905,2,94,d,1
82,dx,22,F,42,431,724,2,97,d,1
83,dx,22,F,42,509,904,2,100,d,1
84,dx,22,F,42,392,729,2,103,d,0
85,dx,22,F,42,335,906,2,100,d,0
86,dx,22,F,42,298,707,2,97,d,0
87,dx,22,F,42,436,840,2,94,d,1
88,dx,22,F,42,433,908,2,97,d,1
89,dx,22,F,42,402,702,2,100,d,1
90,dx,22,F,42,282,852,2,103,d,0
