id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,wdl2,26,M,39,574,792,1,16,a,0
2,wdl2,26,M,39,197,864,1,19,a,0
3,wdl2,26,M,39,425,801,1,22,a,0
4,wdl2,26,M,39,565,949,1,25,a,1
5,wdl2,26,M,39,394,639,1,22,a,1
6,wdl2,26,M,39,304,859,1,19,a,0
7,wdl2,26,M,39,281,644,1,22,a,1
8,wdl2,26,M,39,618,927,1,19,a,1
9,wdl2,26,M,39,177,875,1,16,a,0
10,wdl2,26,M,39,293,683,1,19,a,0
11,wdl2,26,M,39,398,882,1,22,a,1
12,wdl2,26,M,39,616,847,1,20,a,0
13,wdl2,26,M,39,567,649,1,22,a,1
14,wdl2,26,M,39,171,714,1,20,a,1
15,wdl2,26,M,39,566,641,1,18,a,0
16,wdl2,26,M,39,240,722,1,20,a,0
17,wdl2,26,M,39,239,927,1,22,a,0
18,wdl2,26,M,39,481,764,1,24,a,1
19,wdl2,26,M,39,566,946,1,22,a,1
20,wdl2,26,M,39,201,850,1,20,a,0
21,wdl2,26,M,39,345,632,1,21,a,0
22,wdl2,26,M,39,309,869,1,22,a,1
23,wdl2,26,M,39,433,676,1,21,a,1
24,wdl2,26,M,39,303,893,1,20,a,0
25,wdl2,26,M,39,371,643,1,21,a,0
26,wdl2,26,M,39,352,907,1,22,a,1
27,wdl2,26,M,39,528,646,1,21,a,1
28,wdl2,26,M,39,614,881,1,20,a,0
29,wdl2,26,M,39,146,633,1,21,a,1
30,wdl2,26,M,39,286,946,1,30,d,1
31,wdl2,26,M,39,178,648,1,33,d,1
32,wdl2,26,M,39,619,829,1,36,d,1
33,wdl2,26,M,39,481,661,1,39,d,0
34,wdl2,26,M,39,558,869,1,36,d,1
35,wdl2,26,M,39,153,706,1,39,d,0
36,wdl2,26,M,39,276,888,1,36,d,1
37,wdl2,26,M,39,395,690,1,39,d,0
38,wdl2,26,M,39,311,886,1,37,d,1
39,wdl2,26,M,39,168,733,1,39,d,0
40,wdl2,26,M,39,336,871,1,37,d,1
41,wdl2,26,M,39,159,740,1,39,d,0
42,wdl2,26,M,39,351,826,1,37,d,1
43,wdl2,26,M,39,480,654,1,38,d,1
44,wdl2,26,M,39,543,925,1,39,d,0
45,wdl2,26,M,39,195,853,1,38,d,1
46,wdl2,26,M,39,534,730,1,39,d,0
47,wdl2,26,M,39,590,931,1,38,d,0
48,wdl2,26,M,39,171,750,1,37,d,1
49,wdl2,26,M,39,547,922,1,38,d,0
50,wdl2,26,M,39,272,792,2,93,d,1
51,wdl2,26,M,39,368,911,2,104,d,0
52,wdl2,26,M,39,473,684,2,93,d,1
53,wdl2,26,M,39,394,861,2,104,d,0
54,wdl2,26,M,39,272,696,2,93,d,0
55,wdl2,26,M,39,420,847,2,82,d,1
56,wdl2,26,M,39,241,916,2,93,d,0
57,wdl2,26,M,39,502,770,2,86,d,1
58,wdl2,26,M,39,216,819,2,93,d,1
59,wdl2,26,M,39,399,696,2,100,d,0
60,wdl2,26,M,39,338,882,2,93,d,0
61,wdl2,26,M,39,573,701,2,86,d,1
62,wdl2,26,M,39,229,682,2,93,d,0
63,wdl2,26,M,39,520,747,2,86,d,1
64,wdl2,26,M,39,213,903,2,89,d,1
65,wdl2,26,M,39,221,669,2,92,d,1
66,wdl2,26,M,39,338,866,2,95,d,0
67,wdl2,26,M,39,216,701,2,92,d,1
68,wdl2,26,M,39,538,874,2,95,d,1
69,wdl2,26,M,39,194,691,2,98,d,0
70,wdl2,26,M,39,434,812,2,95,d,1
71,wdl2,26,M,39,413,914,2,98,d,1
72,wdl2,26,M,39,510,735,2,101,d,0
