id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,wdl,26,M,39,260,711,3,88,a,0
2,wdl,26,M,39,466,761,3,107,a,1
3,wdl,26,M,39,340,912,3,88,a,1
4,wdl,26,M,39,601,811,3,69,a,0
5,wdl,26,M,39,297,698,3,88,a,1
6,wdl,26,M,39,219,910,3,69,a,0
7,wdl,26,M,39,478,735,3,88,a,1
8,wdl,26,M,39,215,766,3,76,a,0
9,wdl,26,M,39,327,919,3,88,a,0
10,wdl,26,M,39,350,672,3,100,a,1
11,wdl,26,M,39,526,850,3,88,a,0
12,wdl,26,M,39,178,743,3,100,a,1
13,wdl,26,M,39,295,899,3,88,a,0
14,wdl,26,M,39,243,676,3,94,a,0
15,wdl,26,M,39,543,895,3,100,a,0
16,wdl,26,M,39,339,761,3,106,a,1
17,wdl,26,M,39,573,882,3,100,a,1
18,wdl,26,M,39,568,686,3,94,a,0
19,wdl,26,M,39,423,911,3,100,a,1
20,wdl,26,M,39,538,710,3,94,a,0
21,wdl,26,M,39,541,906,3,100,a,1
22,wdl,26,M,39,249,758,3,193,d,0
23,wdl,26,M,39,219,876,3,174,d,0
24,wdl,26,M,39,526,848,3,155,d,0
25,wdl,26,M,39,400,690,3,136,d,1
26,wdl,26,M,39,400,885,3,155,d,0
27,wdl,26,M,39,307,690,3,136,d,1
28,wdl,26,M,39,542,763,3,155,d,0
29,wdl,26,M,39,361,858,3,136,d,1
30,wdl,26,M,39,490,710,3,148,d,0
31,wdl,26,M,39,357,884,3,136,d,1
32,wdl,26,M,39,228,712,3,148,d,1
33,wdl,26,M,39,339,870,3,160,d,0
34,wdl,26,M,39,393,889,3,148,d,1
35,wdl,26,M,39,556,771,3,160,d,1
36,wdl,26,M,39,281,736,3,172,d,0
37,wdl,26,M,39,395,880,3,166,d,0
38,wdl,26,M,39,543,699,3,160,d,0
39,wdl,26,M,39,341,733,3,154,d,1
40,wdl,26,M,39,273,883,3,160,d,0
41,wdl,26,M,39,257,886,3,154,d,0
42,wdl,26,M,39,510,702,3,148,d,0
43,wdl,26,M,39,291,807,3,142,d,1
44,wdl,26,M,39,392,889,3,148,d,1
45,wdl,26,M,39,300,701,3,154,d,1
46,wdl,26,M,39,325,883,3,160,d,0
47,wdl,26,M,39,256,696,3,154,d,1
48,wdl,26,M,39,609,891,2,21,a,0
49,wdl,26,M,39,583,682,2,32,a,0
50,wdl,26,M,39,269,937,2,43,a,1
51,wdl,26,M,39,206,641,2,32,a,0
52,wdl,26,M,39,448,763,2,43,a,0
53,wdl,26,M,39,396,936,2,54,a,1
54,wdl,26,M,39,602,883,2,43,a,0
55,wdl,26,M,39,377,887,2,54,a,1
56,wdl,26,M,39,272,678,2,47,a,0
57,wdl,26,M,39,521,748,2,54,a,1
58,wdl,26,M,39,544,939,2,47,a,0
59,wdl,26,M,39,335,914,2,54,a,1
60,wdl,26,M,39,454,742,2,47,a,0
61,wdl,26,M,39,564,900,2,50,a,1
62,wdl,26,M,39,210,704,2,47,a,0
63,wdl,26,M,39,186,910,2,50,a,0
64,wdl,26,M,39,353,725,2,53,a,1
65,wdl,26,M,39,501,921,2,50,a,0
66,wdl,26,M,39,227,675,2,53,a,0
67,wdl,26,M,39,270,929,2,56,a,0
68,wdl,26,M,39,590,775,2,59,a,1
