id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,wjl2,27,F,39,355,769,3,190,d,0
2,wjl2,27,F,39,450,878,3,171,d,0
3,wjl2,27,F,39,559,705,3,152,d,1
4,wjl2,27,F,39,425,847,3,171,d,0
5,wjl2,27,F,39,525,887,3,152,d,0
6,wjl2,27,F,39,202,869,3,133,d,0
7,wjl2,27,F,39,420,874,3,128,d,1
8,wjl2,27,F,39,536,700,3,147,d,0
9,wjl2,27,F,39,357,837,3,135,d,1
10,wjl2,27,F,39,289,890,3,147,d,1
11,wjl2,27,F,39,525,720,3,159,d,0
12,wjl2,27,F,39,297,738,3,147,d,1
13,wjl2,27,F,39,542,830,3,159,d,0
14,wjl2,27,F,39,427,890,3,147,d,1
15,wjl2,27,F,39,559,693,3,153,d,1
16,wjl2,27,F,39,471,863,3,159,d,0
17,wjl2,27,F,39,363,701,3,153,d,1
18,wjl2,27,F,39,401,884,3,159,d,1
19,wjl2,27,F,39,294,704,3,165,d,0
20,wjl2,27,F,39,515,870,3,159,d,0
21,wjl2,27,F,39,435,694,3,153,d,1
22,wjl2,27,F,39,265,785,3,159,d,0
23,wjl2,27,F,39,499,934,2,14,a,0
24,wjl2,27,F,39,395,688,2,25,a,0
25,wjl2,27,F,39,402,934,2,36,a,0
26,wjl2,27,F,39,354,709,2,47,a,0
27,wjl2,27,F,39,246,880,2,58,a,1
28,wjl2,27,F,39,491,679,2,47,a,0
29,wjl2,27,F,39,201,799,2,58,a,0
30,wjl2,27,F,39,242,929,2,69,a,1
31,wjl2,27,F,39,249,727,2,58,a,0
32,wjl2,27,F,39,189,916,2,69,a,1
33,wjl2,27,F,39,382,728,2,62,a,0
34,wjl2,27,F,39,357,923,2,69,a,1
35,wjl2,27,F,39,361,689,2,62,a,0
36,wjl2,27,F,39,388,893,2,69,a,1
37,wjl2,27,F,39,339,654,2,62,a,1
38,wjl2,27,F,39,492,867,2,55,a,0
39,wjl2,27,F,39,389,682,2,58,a,1
40,wjl2,27,F,39,192,650,2,55,a,0
41,wjl2,27,F,39,489,707,2,58,a,1
42,wjl2,27,F,39,482,909,2,55,a,1
43,wjl2,27,F,39,370,726,2,52,a,0
44,wjl2,27,F,39,253,911,2,55,a,0
45,wjl2,27,F,39,271,687,2,58,a,0
46,wjl2,27,F,39,226,920,2,61,a,0
47,wjl2,27,F,39,595,895,2,64,a,0
48,wjl2,27,F,39,590,665,2,67,a,1
49,wjl2,27,F,39,240,885,3,54,a,0
50,wjl2,27,F,39,196,688,3,73,a,0
51,wjl2,27,F,39,386,840,3,92,a,0
52,wjl2,27,F,39,252,688,3,111,a,1
53,wjl2,27,F,39,243,889,3,92,a,0
54,wjl2,27,F,39,480,873,3,111,a,0
55,wjl2,27,F,39,348,721,3,128,a,1
56,wjl2,27,F,39,519,907,3,109,a,1
57,wjl2,27,F,39,190,871,3,90,a,0
58,wjl2,27,F,39,500,899,3,102,a,1
59,wjl2,27,F,39,316,688,3,90,a,0
60,wjl2,27,F,39,583,851,3,102,a,0
61,wjl2,27,F,39,359,819,3,114,a,0
62,wjl2,27,F,39,530,705,3,126,a,1
63,wjl2,27,F,39,532,903,3,114,a,1
64,wjl2,27,F,39,211,743,3,102,a,0
65,wjl2,27,F,39,407,869,3,114,a,1
66,wjl2,27,F,39,323,679,3,108,a,1
67,wjl2,27,F,39,220,891,3,102,a,0
68,wjl2,27,F,39,302,705,3,108,a,1
69,wjl2,27,F,39,317,904,3,102,a,1
70,wjl2,27,F,39,295,686,3,96,a,0
71,wjl2,27,F,39,333,895,3,102,a,0
72,wjl2,27,F,39,378,705,3,108,a,0
73,wjl2,27,F,39,311,886,3,114,a,1
74,wjl2,27,F,39,538,828,3,108,a,1
75,wjl2,27,F,39,271,780,3,102,a,0
