id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,wwc,28,M,42,500,872,2,76,a,1
2,wwc,28,M,42,551,677,2,65,a,1
3,wwc,28,M,42,597,893,2,54,a,1
4,wwc,28,M,42,506,654,2,43,a,0
5,wwc,28,M,42,329,787,2,54,a,1
6,wwc,28,M,42,470,655,2,43,a,1
7,wwc,28,M,42,363,850,2,32,a,0
8,wwc,28,M,42,539,932,2,43,a,1
9,wwc,28,M,42,326,711,2,32,a,0
10,wwc,28,M,42,361,933,2,39,a,0
11,wwc,28,M,42,327,670,2,46,a,1
12,wwc,28,M,42,487,925,2,39,a,1
13,wwc,28,M,42,303,672,2,32,a,0
14,wwc,28,M,42,514,753,2,39,a,1
15,wwc,28,M,42,259,856,2,32,a,0
16,wwc,28,M,42,213,662,2,39,a,1
17,wwc,28,M,42,451,817,2,36,a,1
18,wwc,28,M,42,573,650,2,33,a,0
19,wwc,28,M,42,556,892,2,36,a,0
20,wwc,28,M,42,563,668,2,39,a,1
21,wwc,28,M,42,513,919,2,36,a,1
22,wwc,28,M,42,505,683,2,33,a,1
23,wwc,28,M,42,513,916,2,30,a,0
24,wwc,28,M,42,314,736,2,33,a,0
25,wwc,28,M,42,616,810,2,36,a,0
26,wwc,28,M,42,161,839,2,39,a,1
27,wwc,28,M,42,149,644,2,36,a,0
28,wwc,28,M,42,609,898,3,46,a,0
29,wwc,28,M,42,295,686,3,65,a,1
30,wwc,28,M,42,444,893,3,46,a,0
31,wwc,28,M,42,277,657,3,65,a,0
32,wwc,28,M,42,348,889,3,84,a,1
33,wwc,28,M,42,602,698,3,65,a,1
34,wwc,28,M,42,164,864,3,46,a,0
35,wwc,28,M,42,344,693,3,65,a,0
36,wwc,28,M,42,455,882,3,84,a,0
37,wwc,28,M,42,497,677,3,103,a,1
38,wwc,28,M,42,364,862,3,91,a,0
39,wwc,28,M,42,459,687,3,103,a,1
40,wwc,28,M,42,570,877,3,91,a,1
41,wwc,28,M,42,457,718,3,79,a,0
42,wwc,28,M,42,580,868,3,91,a,1
43,wwc,28,M,42,406,757,3,79,a,0
44,wwc,28,M,42,401,914,3,85,a,0
45,wwc,28,M,42,260,704,3,91,a,0
46,wwc,28,M,42,204,890,3,97,a,1
47,wwc,28,M,42,516,772,3,91,a,0
48,wwc,28,M,42,571,908,3,97,a,1
49,wwc,28,M,42,222,879,3,91,a,0
50,wwc,28,M,42,290,698,3,97,a,0
51,wwc,28,M,42,253,896,3,103,a,1
52,wwc,28,M,42,130,938,1,5,a,1
53,wwc,28,M,42,407,700,1,2,a,0
54,wwc,28,M,42,459,905,1,5,a,0
55,wwc,28,M,42,218,826,1,8,a,0
56,wwc,28,M,42,479,927,1,11,a,1
57,wwc,28,M,42,563,681,1,8,a,0
58,wwc,28,M,42,364,913,1,11,a,1
59,wwc,28,M,42,187,686,1,8,a,0
60,wwc,28,M,42,330,943,1,10,a,0
61,wwc,28,M,42,421,718,1,12,a,1
62,wwc,28,M,42,149,949,1,10,a,0
63,wwc,28,M,42,625,893,1,12,a,0
64,wwc,28,M,42,259,938,1,14,a,1
65,wwc,28,M,42,632,731,1,12,a,0
66,wwc,28,M,42,590,920,1,14,a,0
67,wwc,28,M,42,480,740,1,16,a,1
68,wwc,28,M,42,421,940,1,15,a,0
69,wwc,28,M,42,157,873,1,16,a,1
70,wwc,28,M,42,578,900,1,15,a,1
71,wwc,28,M,42,404,813,1,14,a,1
72,wwc,28,M,42,200,785,1,13,a,0
73,wwc,28,M,42,157,949,1,14,a,1
74,wwc,28,M,42,333,770,1,13,a,0
