id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,zrj2,24,M,42,468,779,2,28,a,0
2,zrj2,24,M,42,443,937,2,39,a,0
3,zrj2,24,M,42,373,746,2,50,a,0
4,zrj2,24,M,42,594,802,2,61,a,0
5,zrj2,24,M,42,464,660,2,72,a,1
6,zrj2,24,M,42,399,911,2,61,a,0
7,zrj2,24,M,42,521,716,2,72,a,1
8,zrj2,24,M,42,234,876,2,61,a,0
9,zrj2,24,M,42,479,666,2,72,a,0
10,zrj2,24,M,42,539,905,2,77,a,1
11,zrj2,24,M,42,176,834,2,70,a,0
12,zrj2,24,M,42,271,666,2,77,a,1
13,zrj2,24,M,42,423,836,2,70,a,1
14,zrj2,24,M,42,449,925,2,63,a,0
15,zrj2,24,M,42,199,732,2,70,a,1
16,zrj2,24,M,42,421,879,2,67,a,0
17,zrj2,24,M,42,163,672,2,70,a,1
18,zrj2,24,M,42,393,828,2,67,a,0
19,zrj2,24,M,42,433,921,2,70,a,1
20,zrj2,24,M,42,529,658,2,67,a,1
21,zrj2,24,M,42,458,877,2,64,a,0
22,zrj2,24,M,42,281,808,2,113,d,0
23,zrj2,24,M,42,524,760,2,102,d,0
24,zrj2,24,M,42,335,691,2,91,d,1
25,zrj2,24,M,42,474,892,2,102,d,0
26,zrj2,24,M,42,319,694,2,91,d,1
27,zrj2,24,M,42,310,901,2,102,d,0
28,zrj2,24,M,42,239,708,2,91,d,1
29,zrj2,24,M,42,489,841,2,98,d,1
30,zrj2,24,M,42,535,904,2,105,d,0
31,zrj2,24,M,42,362,762,2,98,d,1
32,zrj2,24,M,42,344,904,2,105,d,0
33,zrj2,24,M,42,432,675,2,98,d,1
34,zrj2,24,M,42,567,812,2,105,d,0
35,zrj2,24,M,42,395,711,2,102,d,1
36,zrj2,24,M,42,507,894,2,105,d,1
37,zrj2,24,M,42,338,696,2,108,d,1
38,zrj2,24,M,42,264,877,2,111,d,0
39,zrj2,24,M,42,224,678,2,108,d,1
40,zrj2,24,M,42,381,805,2,111,d,0
41,zrj2,24,M,42,272,902,2,108,d,1
42,zrj2,24,M,42,152,864,1,7,a,0
43,zrj2,24,M,42,323,736,1,10,a,0
44,zrj2,24,M,42,424,920,1,13,a,0
45,zrj2,24,M,42,425,695,1,16,a,0
46,zrj2,24,M,42,544,884,1,19,a,0
47,zrj2,24,M,42,300,821,1,22,a,1
48,zrj2,24,M,42,211,637,1,19,a,0
49,zrj2,24,M,42,179,891,1,22,a,1
50,zrj2,24,M,42,606,825,1,19,a,0
51,zrj2,24,M,42,480,679,1,22,a,0
52,zrj2,24,M,42,471,932,1,25,a,1
53,zrj2,24,M,42,589,650,1,23,a,0
54,zrj2,24,M,42,515,889,1,25,a,1
55,zrj2,24,M,42,273,834,1,23,a,0
56,zrj2,24,M,42,260,637,1,25,a,1
57,zrj2,24,M,42,627,665,1,23,a,1
58,zrj2,24,M,42,324,885,1,21,a,0
59,zrj2,24,M,42,322,655,1,22,a,1
60,zrj2,24,M,42,433,871,1,21,a,0
61,zrj2,24,M,42,287,705,1,22,a,0
62,zrj2,24,M,42,324,905,1,23,a,1
63,zrj2,24,M,42,273,640,1,22,a,0
64,zrj2,24,M,42,275,888,1,23,a,1
