id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,zrj,24,M,42,511,807,3,229,d,0
2,zrj,24,M,42,475,851,3,210,d,1
3,zrj,24,M,42,333,842,3,229,d,1
4,zrj,24,M,42,446,832,3,248,d,0
5,zrj,24,M,42,414,842,3,229,d,0
6,zrj,24,M,42,248,731,3,210,d,0
7,zrj,24,M,42,521,789,3,191,d,1
8,zrj,24,M,42,529,851,3,210,d,0
9,zrj,24,M,42,480,861,3,191,d,1
10,zrj,24,M,42,445,855,3,203,d,1
11,zrj,24,M,42,339,849,3,215,d,0
12,zrj,24,M,42,445,855,3,203,d,1
13,zrj,24,M,42,360,849,3,215,d,0
14,zrj,24,M,42,229,855,3,203,d,0
15,zrj,24,M,42,242,861,3,191,d,1
16,zrj,24,M,42,384,726,3,203,d,0
17,zrj,24,M,42,501,858,3,197,d,1
18,zrj,24,M,42,338,745,3,203,d,0
19,zrj,24,M,42,520,811,3,197,d,0
20,zrj,24,M,42,510,861,3,191,d,1
21,zrj,24,M,42,423,858,3,197,d,0
22,zrj,24,M,42,398,861,3,191,d,1
23,zrj,24,M,42,474,722,2,27,a,0
24,zrj,24,M,42,328,878,2,38,a,0
25,zrj,24,M,42,200,722,2,49,a,0
26,zrj,24,M,42,518,914,2,60,a,1
27,zrj,24,M,42,528,720,2,49,a,0
28,zrj,24,M,42,571,920,2,60,a,1
29,zrj,24,M,42,523,706,2,49,a,0
30,zrj,24,M,42,291,696,2,60,a,1
31,zrj,24,M,42,586,812,2,53,a,0
32,zrj,24,M,42,342,682,2,60,a,0
33,zrj,24,M,42,497,877,2,67,a,1
34,zrj,24,M,42,574,676,2,60,a,0
35,zrj,24,M,42,301,862,2,67,a,1
36,zrj,24,M,42,579,734,2,60,a,0
37,zrj,24,M,42,351,767,2,63,a,0
38,zrj,24,M,42,390,923,2,66,a,1
39,zrj,24,M,42,413,674,2,63,a,0
40,zrj,24,M,42,474,922,2,66,a,1
41,zrj,24,M,42,508,680,2,63,a,0
42,zrj,24,M,42,334,817,2,66,a,1
43,zrj,24,M,42,498,916,3,49,a,0
44,zrj,24,M,42,233,913,3,68,a,0
45,zrj,24,M,42,303,667,3,87,a,0
46,zrj,24,M,42,219,862,3,106,a,0
47,zrj,24,M,42,300,686,3,125,a,1
48,zrj,24,M,42,181,858,3,106,a,0
49,zrj,24,M,42,286,691,3,125,a,1
50,zrj,24,M,42,445,809,3,106,a,0
51,zrj,24,M,42,298,894,3,125,a,1
52,zrj,24,M,42,544,755,3,113,a,1
53,zrj,24,M,42,411,902,3,101,a,0
54,zrj,24,M,42,453,691,3,113,a,0
55,zrj,24,M,42,336,877,3,125,a,1
56,zrj,24,M,42,510,722,3,113,a,0
57,zrj,24,M,42,203,770,3,125,a,1
58,zrj,24,M,42,552,875,3,113,a,1
59,zrj,24,M,42,443,709,3,101,a,0
60,zrj,24,M,42,437,900,3,107,a,0
61,zrj,24,M,42,195,704,3,113,a,1
62,zrj,24,M,42,251,892,3,107,a,0
63,zrj,24,M,42,482,713,3,113,a,1
64,zrj,24,M,42,466,903,3,107,a,0
65,zrj,24,M,42,517,687,3,113,a,1
