id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,gj2,24,M,40,352,731,3,184,d,1
2,gj2,24,M,40,335,860,3,203,d,0
3,gj2,24,M,40,503,748,3,184,d,1
4,gj2,24,M,40,301,826,3,203,d,0
5,gj2,24,M,40,380,869,3,184,d,1
6,gj2,24,M,40,526,738,3,203,d,0
7,gj2,24,M,40,244,813,3,191,d,0
8,gj2,24,M,40,227,872,3,179,d,0
9,gj2,24,M,40,395,766,3,167,d,1
10,gj2,24,M,40,497,872,3,179,d,0
11,gj2,24,M,40,333,720,3,167,d,0
12,gj2,24,M,40,531,851,3,155,d,1
13,gj2,24,M,40,249,826,3,167,d,0
14,gj2,24,M,40,278,884,3,155,d,0
15,gj2,24,M,40,501,829,3,143,d,1
16,gj2,24,M,40,552,887,3,149,d,1
17,gj2,24,M,40,436,713,3,155,d,0
18,gj2,24,M,40,455,887,3,149,d,1
19,gj2,24,M,40,541,702,3,155,d,0
20,gj2,24,M,40,424,884,3,149,d,1
21,gj2,24,M,40,399,884,3,155,d,1
22,gj2,24,M,40,335,700,3,161,d,0
23,gj2,24,M,40,503,754,2,35,a,1
24,gj2,24,M,40,586,927,2,24,a,0
25,gj2,24,M,40,511,662,2,35,a,1
26,gj2,24,M,40,348,893,2,24,a,1
27,gj2,24,M,40,174,736,2,13,a,0
28,gj2,24,M,40,290,922,2,24,a,1
29,gj2,24,M,40,605,747,2,13,a,0
30,gj2,24,M,40,461,909,2,20,a,0
31,gj2,24,M,40,252,715,2,27,a,1
32,gj2,24,M,40,167,908,2,20,a,1
33,gj2,24,M,40,529,693,2,13,a,0
34,gj2,24,M,40,457,887,2,20,a,1
35,gj2,24,M,40,380,663,2,13,a,0
36,gj2,24,M,40,619,934,2,20,a,1
37,gj2,24,M,40,319,829,2,17,a,0
38,gj2,24,M,40,513,651,2,20,a,1
39,gj2,24,M,40,508,899,2,17,a,0
40,gj2,24,M,40,268,655,2,20,a,1
41,gj2,24,M,40,533,884,2,17,a,1
42,gj2,24,M,40,503,649,2,14,a,1
43,gj2,24,M,40,524,950,2,11,a,0
44,gj2,24,M,40,512,673,3,44,a,0
45,gj2,24,M,40,460,873,3,63,a,1
46,gj2,24,M,40,547,685,3,44,a,0
47,gj2,24,M,40,438,901,3,63,a,1
48,gj2,24,M,40,490,646,3,44,a,0
49,gj2,24,M,40,479,855,3,63,a,1
50,gj2,24,M,40,382,680,3,51,a,0
51,gj2,24,M,40,230,839,3,63,a,1
52,gj2,24,M,40,263,647,3,51,a,0
53,gj2,24,M,40,161,882,3,63,a,1
54,gj2,24,M,40,302,647,3,51,a,0
55,gj2,24,M,40,494,647,3,57,a,1
56,gj2,24,M,40,538,919,3,51,a,1
57,gj2,24,M,40,563,686,3,45,a,0
58,gj2,24,M,40,172,891,3,51,a,1
59,gj2,24,M,40,595,931,3,45,a,0
60,gj2,24,M,40,482,759,3,51,a,1
