id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,gj,24,M,40,331,911,2,95,d,1
2,gj,24,M,40,553,795,2,106,d,0
3,gj,24,M,40,376,905,2,95,d,1
4,gj,24,M,40,340,707,2,106,d,0
5,gj,24,M,40,479,894,2,95,d,1
6,gj,24,M,40,374,722,2,106,d,0
7,gj,24,M,40,188,884,2,99,d,0
8,gj,24,M,40,422,672,2,92,d,1
9,gj,24,M,40,537,888,2,99,d,0
10,gj,24,M,40,237,668,2,92,d,1
11,gj,24,M,40,353,876,2,99,d,0
12,gj,24,M,40,297,674,2,92,d,1
13,gj,24,M,40,430,817,2,95,d,1
14,gj,24,M,40,508,912,2,98,d,0
15,gj,24,M,40,456,705,2,95,d,0
16,gj,24,M,40,458,907,2,92,d,1
17,gj,24,M,40,196,793,2,95,d,0
18,gj,24,M,40,231,915,2,92,d,1
19,gj,24,M,40,221,718,2,95,d,0
20,gj,24,M,40,137,736,1,5,a,0
21,gj,24,M,40,625,921,1,8,a,0
22,gj,24,M,40,252,909,1,11,a,0
23,gj,24,M,40,509,886,1,14,a,1
24,gj,24,M,40,152,852,1,11,a,1
25,gj,24,M,40,403,917,1,8,a,0
26,gj,24,M,40,623,627,1,11,a,1
27,gj,24,M,40,460,812,1,8,a,0
28,gj,24,M,40,573,628,1,11,a,1
29,gj,24,M,40,192,779,1,9,a,1
30,gj,24,M,40,220,958,1,7,a,0
31,gj,24,M,40,358,731,1,9,a,1
32,gj,24,M,40,178,631,1,7,a,0
33,gj,24,M,40,600,927,1,9,a,1
34,gj,24,M,40,460,766,1,7,a,0
35,gj,24,M,40,540,955,1,8,a,0
36,gj,24,M,40,535,676,1,9,a,0
37,gj,24,M,40,312,846,1,10,a,1
38,gj,24,M,40,629,625,1,9,a,1
39,gj,24,M,40,493,865,1,8,a,0
40,gj,24,M,40,315,780,1,9,a,1
41,gj,24,M,40,244,957,1,8,a,0
42,gj,24,M,40,308,744,1,9,a,1
43,gj,24,M,40,263,644,1,33,d,1
44,gj,24,M,40,349,912,1,36,d,0
45,gj,24,M,40,430,635,1,33,d,1
46,gj,24,M,40,323,801,1,36,d,0
47,gj,24,M,40,193,655,1,33,d,0
48,gj,24,M,40,147,886,1,30,d,1
49,gj,24,M,40,440,909,1,33,d,1
50,gj,24,M,40,290,670,1,36,d,1
51,gj,24,M,40,506,814,1,39,d,0
52,gj,24,M,40,531,943,1,37,d,1
53,gj,24,M,40,577,689,1,39,d,1
54,gj,24,M,40,472,855,1,41,d,0
55,gj,24,M,40,362,641,1,39,d,1
56,gj,24,M,40,418,907,1,41,d,0
57,gj,24,M,40,285,658,1,39,d,1
58,gj,24,M,40,551,723,1,40,d,0
59,gj,24,M,40,280,767,1,39,d,1
60,gj,24,M,40,580,668,1,40,d,1
61,gj,24,M,40,540,860,1,41,d,0
62,gj,24,M,40,331,812,1,40,d,0
63,gj,24,M,40,185,682,1,39,d,1
64,gj,24,M,40,442,833,1,40,d,0
