id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,ht2,30,M,44,304,683,1,22,a,0
2,ht2,30,M,44,494,650,1,25,a,0
3,ht2,30,M,44,185,816,1,26,a,0
4,ht2,30,M,44,468,879,1,26,a,1
5,ht2,30,M,44,241,691,1,23,a,0
6,ht2,30,M,44,328,884,1,26,a,1
7,ht2,30,M,44,352,659,1,24,a,0
8,ht2,30,M,44,287,937,1,26,a,0
9,ht2,30,M,44,368,688,1,26,a,1
10,ht2,30,M,44,562,784,1,24,a,1
11,ht2,30,M,44,582,941,1,22,a,1
12,ht2,30,M,44,146,783,1,20,a,0
13,ht2,30,M,44,451,936,1,22,a,0
14,ht2,30,M,44,471,668,1,24,a,0
15,ht2,30,M,44,525,929,1,26,a,0
16,ht2,30,M,44,513,666,1,26,a,0
17,ht2,30,M,44,525,936,1,26,a,1
18,ht2,30,M,44,483,706,1,25,a,0
19,ht2,30,M,44,347,909,1,26,a,0
20,ht2,30,M,44,478,685,1,26,a,0
21,ht2,30,M,44,255,826,1,26,a,0
22,ht2,30,M,44,180,898,1,27,d,1
23,ht2,30,M,44,608,926,1,30,d,0
24,ht2,30,M,44,437,680,1,27,d,0
25,ht2,30,M,44,196,715,1,26,d,1
26,ht2,30,M,44,193,929,1,29,d,1
27,ht2,30,M,44,370,747,1,32,d,0
28,ht2,30,M,44,318,936,1,29,d,0
29,ht2,30,M,44,327,721,1,26,d,0
30,ht2,30,M,44,433,881,1,26,d,1
31,ht2,30,M,44,216,839,1,28,d,0
32,ht2,30,M,44,620,802,1,26,d,0
33,ht2,30,M,44,480,938,1,26,d,0
34,ht2,30,M,44,388,683,1,26,d,1
35,ht2,30,M,44,280,935,1,27,d,0
36,ht2,30,M,44,538,852,1,26,d,1
37,ht2,30,M,44,550,642,1,27,d,1
38,ht2,30,M,44,267,798,1,28,d,0
39,ht2,30,M,44,149,645,1,27,d,0
40,ht2,30,M,44,385,920,1,26,d,1
41,ht2,30,M,44,171,863,1,27,d,0
42,ht2,30,M,44,483,776,2,149,d,0
43,ht2,30,M,44,470,883,2,138,d,1
44,ht2,30,M,44,380,704,2,149,d,1
45,ht2,30,M,44,370,872,2,160,d,1
46,ht2,30,M,44,468,867,2,171,d,0
47,ht2,30,M,44,358,708,2,160,d,0
48,ht2,30,M,44,206,863,2,149,d,0
49,ht2,30,M,44,387,741,2,138,d,0
50,ht2,30,M,44,482,889,2,127,d,1
51,ht2,30,M,44,529,699,2,138,d,0
52,ht2,30,M,44,502,889,2,127,d,1
53,ht2,30,M,44,447,699,2,134,d,1
54,ht2,30,M,44,535,878,2,141,d,1
55,ht2,30,M,44,441,706,2,148,d,0
56,ht2,30,M,44,254,801,2,141,d,0
57,ht2,30,M,44,293,885,2,134,d,1
58,ht2,30,M,44,357,699,2,141,d,0
59,ht2,30,M,44,544,835,2,134,d,1
60,ht2,30,M,44,198,784,2,141,d,0
61,ht2,30,M,44,332,883,2,138,d,1
62,ht2,30,M,44,380,882,2,141,d,0
63,ht2,30,M,44,506,729,2,138,d,0
64,ht2,30,M,44,534,885,2,135,d,1
65,ht2,30,M,44,468,701,2,138,d,0
66,ht2,30,M,44,498,885,2,135,d,1
