id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,ht,30,M,45,378,816,3,119,a,1
2,ht,30,M,45,288,900,3,100,a,1
3,ht,30,M,45,399,683,3,81,a,1
4,ht,30,M,45,474,879,3,62,a,0
5,ht,30,M,45,191,779,3,81,a,1
6,ht,30,M,45,308,919,3,62,a,0
7,ht,30,M,45,590,839,3,81,a,1
8,ht,30,M,45,465,690,3,62,a,0
9,ht,30,M,45,412,887,3,74,a,1
10,ht,30,M,45,172,708,3,62,a,0
11,ht,30,M,45,316,885,3,74,a,1
12,ht,30,M,45,291,683,3,62,a,1
13,ht,30,M,45,297,917,3,50,a,0
14,ht,30,M,45,292,674,3,62,a,0
15,ht,30,M,45,536,754,3,74,a,1
16,ht,30,M,45,576,916,3,68,a,0
17,ht,30,M,45,418,671,3,74,a,0
18,ht,30,M,45,277,847,3,80,a,1
19,ht,30,M,45,519,676,3,74,a,1
20,ht,30,M,45,330,759,3,68,a,0
21,ht,30,M,45,513,885,3,74,a,1
22,ht,30,M,45,354,695,3,68,a,0
23,ht,30,M,45,370,860,3,129,d,1
24,ht,30,M,45,533,713,3,148,d,0
25,ht,30,M,45,228,777,3,129,d,0
26,ht,30,M,45,318,886,3,128,d,1
27,ht,30,M,45,366,877,3,147,d,0
28,ht,30,M,45,462,708,3,128,d,1
29,ht,30,M,45,267,846,3,140,d,1
30,ht,30,M,45,512,782,3,152,d,0
31,ht,30,M,45,521,880,3,140,d,0
32,ht,30,M,45,397,712,3,128,d,1
33,ht,30,M,45,268,870,3,140,d,0
34,ht,30,M,45,199,886,3,128,d,0
35,ht,30,M,45,478,736,3,128,d,0
36,ht,30,M,45,428,886,3,128,d,1
37,ht,30,M,45,311,709,3,134,d,1
38,ht,30,M,45,280,880,3,140,d,1
39,ht,30,M,45,479,774,3,146,d,1
40,ht,30,M,45,480,874,3,152,d,0
41,ht,30,M,45,409,877,3,146,d,1
42,ht,30,M,45,221,819,3,152,d,0
43,ht,30,M,45,231,877,3,146,d,1
44,ht,30,M,45,325,721,2,53,a,1
45,ht,30,M,45,348,915,2,42,a,1
46,ht,30,M,45,422,736,2,31,a,0
47,ht,30,M,45,389,928,2,42,a,1
48,ht,30,M,45,455,657,2,31,a,0
49,ht,30,M,45,178,731,2,42,a,0
50,ht,30,M,45,494,839,2,53,a,0
51,ht,30,M,45,383,668,2,64,a,1
52,ht,30,M,45,298,877,2,53,a,0
53,ht,30,M,45,494,749,2,60,a,0
54,ht,30,M,45,487,917,2,67,a,1
55,ht,30,M,45,180,743,2,60,a,1
56,ht,30,M,45,200,924,2,53,a,0
57,ht,30,M,45,271,687,2,60,a,0
58,ht,30,M,45,198,908,2,67,a,0
59,ht,30,M,45,415,903,2,74,a,1
60,ht,30,M,45,167,761,2,67,a,0
61,ht,30,M,45,401,726,2,74,a,0
62,ht,30,M,45,453,910,2,77,a,1
63,ht,30,M,45,271,786,2,74,a,0
64,ht,30,M,45,169,912,2,77,a,0
65,ht,30,M,45,545,752,2,77,a,0
66,ht,30,M,45,206,869,2,77,a,1
