id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,lr2,25,M,39,569,725,3,18,a,0
2,lr2,25,M,39,270,918,3,37,a,0
3,lr2,25,M,39,468,656,3,56,a,0
4,lr2,25,M,39,579,861,3,75,a,0
5,lr2,25,M,39,309,805,3,94,a,0
6,lr2,25,M,39,259,907,3,113,a,1
7,lr2,25,M,39,175,699,3,94,a,0
8,lr2,25,M,39,563,869,3,113,a,1
9,lr2,25,M,39,337,830,3,94,a,0
10,lr2,25,M,39,398,907,3,113,a,1
11,lr2,25,M,39,360,688,3,101,a,0
12,lr2,25,M,39,303,876,3,113,a,1
13,lr2,25,M,39,332,680,3,101,a,0
14,lr2,25,M,39,264,868,3,113,a,0
15,lr2,25,M,39,349,687,3,125,a,1
16,lr2,25,M,39,436,899,3,113,a,1
17,lr2,25,M,39,486,669,3,101,a,0
18,lr2,25,M,39,459,885,3,107,a,0
19,lr2,25,M,39,410,687,3,113,a,1
20,lr2,25,M,39,540,865,3,107,a,1
21,lr2,25,M,39,228,910,3,101,a,0
22,lr2,25,M,39,363,678,3,107,a,0
23,lr2,25,M,39,439,879,3,113,a,1
24,lr2,25,M,39,417,677,3,107,a,0
25,lr2,25,M,39,441,867,3,113,a,1
26,lr2,25,M,39,214,917,1,5,a,0
27,lr2,25,M,39,369,624,1,8,a,0
28,lr2,25,M,39,376,842,1,11,a,0
29,lr2,25,M,39,247,663,1,14,a,0
30,lr2,25,M,39,609,880,1,17,a,0
31,lr2,25,M,39,623,634,1,20,a,1
32,lr2,25,M,39,456,731,1,17,a,0
33,lr2,25,M,39,307,951,1,20,a,0
34,lr2,25,M,39,333,752,1,23,a,1
35,lr2,25,M,39,298,951,1,20,a,1
36,lr2,25,M,39,412,761,1,17,a,0
37,lr2,25,M,39,302,939,1,20,a,1
38,lr2,25,M,39,522,646,1,18,a,0
39,lr2,25,M,39,345,838,1,20,a,0
40,lr2,25,M,39,157,925,1,22,a,1
41,lr2,25,M,39,334,764,1,20,a,0
42,lr2,25,M,39,406,943,1,22,a,1
43,lr2,25,M,39,221,636,1,20,a,0
44,lr2,25,M,39,319,943,1,21,a,0
45,lr2,25,M,39,249,734,1,22,a,1
46,lr2,25,M,39,582,765,1,21,a,0
47,lr2,25,M,39,268,843,1,22,a,0
48,lr2,25,M,39,386,677,1,23,a,0
49,lr2,25,M,39,479,913,1,24,a,1
50,lr2,25,M,39,574,677,1,23,a,0
51,lr2,25,M,39,163,724,1,24,a,1
52,lr2,25,M,39,325,735,3,133,d,1
53,lr2,25,M,39,278,887,3,152,d,1
54,lr2,25,M,39,447,771,3,171,d,0
55,lr2,25,M,39,234,852,3,152,d,1
56,lr2,25,M,39,499,763,3,171,d,0
57,lr2,25,M,39,294,717,3,152,d,0
58,lr2,25,M,39,331,897,3,133,d,1
59,lr2,25,M,39,411,719,3,152,d,0
60,lr2,25,M,39,398,893,3,140,d,1
61,lr2,25,M,39,304,716,3,152,d,0
62,lr2,25,M,39,446,884,3,140,d,0
63,lr2,25,M,39,445,690,3,128,d,1
64,lr2,25,M,39,199,783,3,140,d,1
65,lr2,25,M,39,313,887,3,152,d,0
66,lr2,25,M,39,370,694,3,140,d,0
67,lr2,25,M,39,366,895,3,128,d,1
68,lr2,25,M,39,282,703,3,134,d,1
69,lr2,25,M,39,422,865,3,140,d,0
70,lr2,25,M,39,335,689,3,134,d,1
71,lr2,25,M,39,482,868,3,140,d,1
72,lr2,25,M,39,455,890,3,146,d,0
73,lr2,25,M,39,515,695,3,140,d,1
74,lr2,25,M,39,233,849,3,146,d,0
