id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,lr,25,M,39,542,668,1,35,d,1
2,lr,25,M,39,333,664,1,38,d,0
3,lr,25,M,39,395,863,1,35,d,1
4,lr,25,M,39,233,742,1,38,d,0
5,lr,25,M,39,439,701,1,35,d,1
6,lr,25,M,39,594,816,1,38,d,1
7,lr,25,M,39,586,943,1,41,d,0
8,lr,25,M,39,344,675,1,39,d,0
9,lr,25,M,39,274,929,1,37,d,0
10,lr,25,M,39,560,898,1,35,d,1
11,lr,25,M,39,461,668,1,37,d,0
12,lr,25,M,39,171,912,1,35,d,0
13,lr,25,M,39,556,938,1,33,d,0
14,lr,25,M,39,477,688,1,31,d,0
15,lr,25,M,39,296,784,1,29,d,1
16,lr,25,M,39,473,871,1,31,d,0
17,lr,25,M,39,275,671,1,29,d,1
18,lr,25,M,39,189,938,1,30,d,1
19,lr,25,M,39,474,648,1,31,d,1
20,lr,25,M,39,504,935,1,32,d,0
21,lr,25,M,39,501,665,1,31,d,0
22,lr,25,M,39,149,905,1,30,d,1
23,lr,25,M,39,500,885,1,31,d,0
24,lr,25,M,39,195,647,1,30,d,0
25,lr,25,M,39,408,650,1,29,d,0
26,lr,25,M,39,160,643,1,28,d,1
27,lr,25,M,39,586,660,1,29,d,1
28,lr,25,M,39,429,865,1,30,d,1
29,lr,25,M,39,392,662,1,31,d,0
30,lr,25,M,39,304,813,2,69,a,0
31,lr,25,M,39,273,925,2,77,a,1
32,lr,25,M,39,203,694,2,66,a,1
33,lr,25,M,39,390,647,2,55,a,1
34,lr,25,M,39,360,873,2,44,a,0
35,lr,25,M,39,426,659,2,55,a,0
36,lr,25,M,39,173,666,2,66,a,1
37,lr,25,M,39,336,855,2,55,a,0
38,lr,25,M,39,426,679,2,62,a,0
39,lr,25,M,39,451,892,2,69,a,1
40,lr,25,M,39,351,712,2,62,a,0
41,lr,25,M,39,197,844,2,69,a,1
42,lr,25,M,39,274,666,2,62,a,1
43,lr,25,M,39,281,859,2,55,a,1
44,lr,25,M,39,158,685,2,48,a,0
45,lr,25,M,39,590,663,2,55,a,0
46,lr,25,M,39,316,698,2,62,a,0
47,lr,25,M,39,596,661,2,69,a,1
48,lr,25,M,39,308,677,2,66,a,1
49,lr,25,M,39,249,900,2,63,a,1
50,lr,25,M,39,499,871,2,60,a,0
51,lr,25,M,39,572,682,2,63,a,0
52,lr,25,M,39,251,696,2,66,a,1
53,lr,25,M,39,455,920,2,63,a,0
54,lr,25,M,39,501,716,2,66,a,0
55,lr,25,M,39,220,777,2,69,a,1
56,lr,25,M,39,381,886,2,66,a,1
57,lr,25,M,39,190,781,2,63,a,0
58,lr,25,M,39,370,838,2,94,d,0
59,lr,25,M,39,365,922,2,83,d,0
60,lr,25,M,39,308,734,2,77,d,1
61,lr,25,M,39,397,914,2,88,d,0
62,lr,25,M,39,373,657,2,77,d,1
63,lr,25,M,39,404,906,2,88,d,0
64,lr,25,M,39,533,706,2,81,d,1
65,lr,25,M,39,499,914,2,88,d,0
66,lr,25,M,39,282,734,2,81,d,1
67,lr,25,M,39,536,670,2,88,d,0
68,lr,25,M,39,349,714,2,81,d,1
69,lr,25,M,39,312,917,2,84,d,1
70,lr,25,M,39,250,660,2,87,d,1
71,lr,25,M,39,349,847,2,90,d,0
72,lr,25,M,39,416,663,2,87,d,1
73,lr,25,M,39,291,862,2,90,d,0
74,lr,25,M,39,408,701,2,87,d,0
75,lr,25,M,39,282,847,2,84,d,1
76,lr,25,M,39,544,777,2,87,d,1
77,lr,25,M,39,300,868,2,90,d,0
