id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,zyn2,27,M,44,529,760,2,30,a,0
2,zyn2,27,M,44,296,784,2,41,a,0
3,zyn2,27,M,44,338,926,2,52,a,0
4,zyn2,27,M,44,160,724,2,63,a,0
5,zyn2,27,M,44,492,680,2,74,a,0
6,zyn2,27,M,44,254,852,2,77,a,0
7,zyn2,27,M,44,205,666,2,77,a,1
8,zyn2,27,M,44,384,851,2,66,a,0
9,zyn2,27,M,44,360,914,2,77,a,1
10,zyn2,27,M,44,568,761,2,70,a,0
11,zyn2,27,M,44,293,750,2,77,a,1
12,zyn2,27,M,44,495,831,2,70,a,0
13,zyn2,27,M,44,582,914,2,77,a,1
14,zyn2,27,M,44,553,668,2,70,a,1
15,zyn2,27,M,44,328,691,2,63,a,1
16,zyn2,27,M,44,328,893,2,56,a,0
17,zyn2,27,M,44,598,805,2,59,a,0
18,zyn2,27,M,44,411,881,2,62,a,1
19,zyn2,27,M,44,343,698,2,59,a,1
20,zyn2,27,M,44,298,890,2,56,a,0
21,zyn2,27,M,44,442,695,2,59,a,0
22,zyn2,27,M,44,313,856,2,62,a,1
23,zyn2,27,M,44,322,662,2,59,a,0
24,zyn2,27,M,44,431,908,2,62,a,0
25,zyn2,27,M,44,484,707,2,65,a,0
26,zyn2,27,M,44,304,915,2,68,a,0
27,zyn2,27,M,44,272,688,2,71,a,0
28,zyn2,27,M,44,404,866,2,74,a,0
29,zyn2,27,M,44,363,668,2,77,a,1
,,,,,,,,,,
31,zyn2,27,M,44,429,795,2,119,d,0
32,zyn2,27,M,44,197,839,2,108,d,0
33,zyn2,27,M,44,436,680,2,97,d,1
34,zyn2,27,M,44,523,870,2,108,d,0
35,zyn2,27,M,44,223,808,2,97,d,0
36,zyn2,27,M,44,385,701,2,86,d,1
37,zyn2,27,M,44,586,739,2,97,d,0
