id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,zyn,27,M,44,229,786,3,187,d,1
2,zyn,27,M,44,406,849,3,206,d,1
3,zyn,27,M,44,353,840,3,225,d,1
4,zyn,27,M,44,428,830,3,244,d,1
5,zyn,27,M,44,389,821,3,263,d,1
6,zyn,27,M,44,449,811,3,282,d,1
7,zyn,27,M,44,401,802,3,301,d,1
8,zyn,27,M,44,380,792,3,320,d,0
9,zyn,27,M,44,387,802,3,301,d,0
10,zyn,27,M,44,435,811,3,282,d,0
11,zyn,27,M,44,273,821,3,263,d,0
12,zyn,27,M,44,406,830,3,244,d,0
13,zyn,27,M,44,481,840,3,225,d,0
14,zyn,27,M,44,357,849,3,206,d,1
15,zyn,27,M,44,439,840,3,225,d,0
16,zyn,27,M,44,309,849,3,206,d,1
17,zyn,27,M,44,385,840,3,225,d,0
18,zyn,27,M,44,382,846,3,213,d,0
19,zyn,27,M,44,390,852,3,201,d,0
20,zyn,27,M,44,473,858,3,189,d,0
21,zyn,27,M,44,343,716,3,177,d,1
22,zyn,27,M,44,506,823,3,189,d,0
23,zyn,27,M,44,227,753,3,177,d,0
24,zyn,27,M,44,375,870,3,165,d,0
25,zyn,27,M,44,515,705,3,153,d,1
26,zyn,27,M,44,318,733,3,165,d,0
27,zyn,27,M,44,362,876,3,153,d,0
28,zyn,27,M,44,488,711,3,141,d,1
29,zyn,27,M,44,426,879,3,147,d,0
30,zyn,27,M,44,356,698,3,141,d,1
31,zyn,27,M,44,370,879,3,147,d,0
32,zyn,27,M,44,285,702,3,141,d,0
33,zyn,27,M,44,387,884,3,135,d,0
34,zyn,27,M,44,445,694,3,129,d,1
35,zyn,27,M,44,545,869,3,135,d,0
36,zyn,27,M,44,596,665,1,32,d,0
37,zyn,27,M,44,384,867,1,29,d,1
38,zyn,27,M,44,362,654,1,32,d,0
39,zyn,27,M,44,147,709,1,29,d,0
40,zyn,27,M,44,315,830,1,26,d,0
41,zyn,27,M,44,384,643,1,26,d,1
42,zyn,27,M,44,364,900,1,29,d,0
43,zyn,27,M,44,385,655,1,27,d,0
44,zyn,27,M,44,214,808,1,26,d,0
45,zyn,27,M,44,594,732,1,26,d,1
46,zyn,27,M,44,151,759,1,28,d,0
47,zyn,27,M,44,600,841,1,26,d,0
48,zyn,27,M,44,415,929,1,26,d,0
49,zyn,27,M,44,300,736,1,26,d,0
50,zyn,27,M,44,330,931,1,26,d,0
51,zyn,27,M,44,522,935,1,26,d,0
52,zyn,27,M,44,503,708,1,26,d,1
53,zyn,27,M,44,544,704,3,32,a,0
54,zyn,27,M,44,398,851,3,51,a,0
55,zyn,27,M,44,227,667,3,70,a,1
56,zyn,27,M,44,502,795,3,51,a,0
57,zyn,27,M,44,484,917,3,70,a,0
58,zyn,27,M,44,210,827,3,89,a,0
59,zyn,27,M,44,309,898,3,108,a,0
60,zyn,27,M,44,460,766,3,127,a,1
61,zyn,27,M,44,502,898,3,108,a,0
62,zyn,27,M,44,292,697,3,127,a,0
63,zyn,27,M,44,442,868,3,128,a,1
64,zyn,27,M,44,234,784,3,116,a,1
65,zyn,27,M,44,580,872,3,104,a,0
66,zyn,27,M,44,214,755,3,116,a,0
67,zyn,27,M,44,406,870,3,128,a,1
68,zyn,27,M,44,367,894,3,116,a,1
69,zyn,27,M,44,211,700,3,104,a,1
70,zyn,27,M,44,308,868,3,92,a,1
71,zyn,27,M,44,509,758,3,80,a,0
72,zyn,27,M,44,373,895,3,92,a,1
73,zyn,27,M,44,533,766,3,86,a,0
74,zyn,27,M,44,367,895,3,92,a,1
75,zyn,27,M,44,460,697,3,86,a,1
76,zyn,27,M,44,424,893,3,80,a,0
77,zyn,27,M,44,358,706,3,86,a,1
78,zyn,27,M,44,422,889,3,80,a,0
