id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,bsj2,23,M,45,530,716,3,120,a,1
2,bsj2,23,M,45,412,890,3,101,a,0
3,bsj2,23,M,45,318,717,3,120,a,1
4,bsj2,23,M,45,282,900,3,101,a,0
5,bsj2,23,M,45,302,700,3,120,a,0
6,bsj2,23,M,45,467,844,3,128,a,1
7,bsj2,23,M,45,548,892,3,116,a,1
8,bsj2,23,M,45,341,837,3,104,a,0
9,bsj2,23,M,45,336,892,3,116,a,1
10,bsj2,23,M,45,331,693,3,104,a,0
11,bsj2,23,M,45,507,787,3,116,a,0
12,bsj2,23,M,45,497,886,3,128,a,1
13,bsj2,23,M,45,434,701,3,116,a,0
14,bsj2,23,M,45,252,853,3,122,a,0
15,bsj2,23,M,45,556,738,3,128,a,1
16,bsj2,23,M,45,230,836,3,122,a,0
17,bsj2,23,M,45,409,759,3,128,a,1
18,bsj2,23,M,45,354,889,3,122,a,1
19,bsj2,23,M,45,493,723,3,116,a,0
20,bsj2,23,M,45,219,830,3,122,a,0
21,bsj2,23,M,45,321,886,3,128,a,1
,,,,,,,,,,
23,bsj2,23,M,45,342,841,1,16,a,1
24,bsj2,23,M,45,596,688,1,13,a,0
25,bsj2,23,M,45,268,873,1,16,a,0
26,bsj2,23,M,45,259,649,1,19,a,1
27,bsj2,23,M,45,212,926,1,16,a,1
28,bsj2,23,M,45,354,760,1,13,a,0
29,bsj2,23,M,45,602,766,1,16,a,1
30,bsj2,23,M,45,588,944,1,13,a,0
31,bsj2,23,M,45,297,838,1,15,a,1
32,bsj2,23,M,45,383,646,1,13,a,0
33,bsj2,23,M,45,491,928,1,15,a,1
34,bsj2,23,M,45,245,928,1,13,a,0
35,bsj2,23,M,45,511,637,1,15,a,0
36,bsj2,23,M,45,238,700,1,17,a,0
37,bsj2,23,M,45,214,934,1,19,a,0
38,bsj2,23,M,45,323,689,1,21,a,0
39,bsj2,23,M,45,621,840,1,23,a,0
40,bsj2,23,M,45,373,753,1,25,a,1
41,bsj2,23,M,45,360,938,1,24,a,1
42,bsj2,23,M,45,623,672,1,23,a,1
43,bsj2,23,M,45,499,911,1,22,a,1
44,bsj2,23,M,45,526,717,1,21,a,0
45,bsj2,23,M,45,385,875,1,22,a,1
46,bsj2,23,M,45,561,758,1,21,a,1
47,bsj2,23,M,45,195,806,1,20,a,0
48,bsj2,23,M,45,240,940,1,21,a,1
49,bsj2,23,M,45,394,812,1,20,a,1
50,bsj2,23,M,45,277,654,1,19,a,0
