id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,bsj,23,M,45,545,880,2,62,a,1
2,bsj,23,M,45,201,870,2,51,a,0
3,bsj,23,M,45,256,672,2,62,a,0
4,bsj,23,M,45,197,858,2,73,a,1
5,bsj,23,M,45,520,832,2,62,a,0
6,bsj,23,M,45,224,782,2,73,a,1
7,bsj,23,M,45,254,919,2,62,a,1
8,bsj,23,M,45,412,702,2,51,a,0
9,bsj,23,M,45,203,907,2,58,a,0
10,bsj,23,M,45,529,842,2,65,a,1
11,bsj,23,M,45,393,698,2,58,a,0
12,bsj,23,M,45,377,900,2,65,a,0
13,bsj,23,M,45,333,669,2,72,a,1
14,bsj,23,M,45,510,773,2,65,a,0
15,bsj,23,M,45,174,708,2,72,a,1
16,bsj,23,M,45,439,881,2,69,a,1
17,bsj,23,M,45,232,778,2,66,a,0
18,bsj,23,M,45,300,916,2,69,a,0
19,bsj,23,M,45,559,758,2,72,a,1
20,bsj,23,M,45,512,916,2,69,a,0
21,bsj,23,M,45,276,786,2,72,a,0
22,bsj,23,M,45,274,913,2,75,a,0
23,bsj,23,M,45,578,724,2,77,a,1
