id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,wt2,21,M,44,346,814,1,48,d,0
2,wt2,21,M,44,233,652,1,45,d,0
3,wt2,21,M,44,257,885,1,42,d,0
4,wt2,21,M,44,315,694,1,39,d,0
5,wt2,21,M,44,351,924,1,36,d,0
6,wt2,21,M,44,507,761,1,33,d,1
7,wt2,21,M,44,237,771,1,36,d,0
8,wt2,21,M,44,403,671,1,33,d,1
9,wt2,21,M,44,379,861,1,36,d,0
10,wt2,21,M,44,326,671,1,33,d,1
11,wt2,21,M,44,167,906,1,35,d,0
12,wt2,21,M,44,270,691,1,33,d,0
13,wt2,21,M,44,339,934,1,31,d,1
14,wt2,21,M,44,397,734,1,33,d,1
15,wt2,21,M,44,302,905,1,35,d,0
16,wt2,21,M,44,478,715,1,33,d,0
17,wt2,21,M,44,159,853,1,31,d,1
18,wt2,21,M,44,334,692,1,33,d,1
19,wt2,21,M,44,217,861,1,35,d,0
20,wt2,21,M,44,204,666,1,34,d,0
21,wt2,21,M,44,463,782,1,33,d,0
22,wt2,21,M,44,236,731,1,32,d,1
23,wt2,21,M,44,308,921,1,33,d,1
24,wt2,21,M,44,327,719,1,34,d,0
25,wt2,21,M,44,170,861,1,33,d,0
26,wt2,21,M,44,409,876,1,32,d,0
27,wt2,21,M,44,561,691,1,31,d,0
28,wt2,21,M,44,519,931,1,30,d,0
29,wt2,21,M,44,171,866,1,29,d,1
30,wt2,21,M,44,622,876,1,30,d,0
31,wt2,21,M,44,200,916,1,29,d,1
32,wt2,21,M,44,337,719,3,62,a,0
33,wt2,21,M,44,337,911,3,81,a,0
34,wt2,21,M,44,385,678,3,100,a,0
35,wt2,21,M,44,376,878,3,119,a,0
36,wt2,21,M,44,197,728,3,128,a,1
37,wt2,21,M,44,345,887,3,109,a,0
38,wt2,21,M,44,310,695,3,128,a,1
39,wt2,21,M,44,554,737,3,109,a,0
40,wt2,21,M,44,558,892,3,121,a,1
41,wt2,21,M,44,545,683,3,109,a,1
42,wt2,21,M,44,249,862,3,97,a,0
43,wt2,21,M,44,428,732,3,109,a,0
44,wt2,21,M,44,430,892,3,121,a,0
45,wt2,21,M,44,381,692,3,128,a,1
46,wt2,21,M,44,223,859,3,116,a,0
47,wt2,21,M,44,350,689,3,122,a,0
48,wt2,21,M,44,500,858,3,128,a,1
49,wt2,21,M,44,325,748,3,122,a,0
50,wt2,21,M,44,565,873,3,128,a,1
51,wt2,21,M,44,267,750,3,122,a,1
52,wt2,21,M,44,357,894,3,116,a,0
53,wt2,21,M,44,518,750,3,122,a,1
54,wt2,21,M,44,259,889,2,27,a,0
55,wt2,21,M,44,424,709,2,38,a,0
56,wt2,21,M,44,541,910,2,49,a,0
57,wt2,21,M,44,472,718,2,60,a,0
58,wt2,21,M,44,397,908,2,71,a,1
59,wt2,21,M,44,510,727,2,60,a,0
60,wt2,21,M,44,318,721,2,71,a,1
61,wt2,21,M,44,354,913,2,60,a,0
62,wt2,21,M,44,516,664,2,71,a,0
63,wt2,21,M,44,567,901,2,77,a,1
64,wt2,21,M,44,184,712,2,70,a,0
65,wt2,21,M,44,303,893,2,77,a,0
66,wt2,21,M,44,421,666,2,77,a,1
67,wt2,21,M,44,450,874,2,70,a,1
68,wt2,21,M,44,510,688,2,63,a,0
69,wt2,21,M,44,581,891,2,66,a,0
70,wt2,21,M,44,305,863,2,69,a,1
71,wt2,21,M,44,363,668,2,66,a,0
72,wt2,21,M,44,596,749,2,69,a,0
73,wt2,21,M,44,413,687,2,72,a,0
74,wt2,21,M,44,578,842,2,75,a,1
75,wt2,21,M,44,528,916,2,72,a,1
76,wt2,21,M,44,432,747,2,69,a,0
77,wt2,21,M,44,459,916,2,72,a,0
78,wt2,21,M,44,246,685,2,75,a,1
