id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,wt,21,M,44,259,708,1,0,a,0
2,wt,21,M,44,135,877,1,3,a,0
3,wt,21,M,44,332,839,1,6,a,0
4,wt,21,M,44,374,637,1,9,a,0
5,wt,21,M,44,429,845,1,12,a,0
6,wt,21,M,44,355,662,1,15,a,0
7,wt,21,M,44,540,854,1,18,a,1
8,wt,21,M,44,554,659,1,15,a,0
9,wt,21,M,44,228,759,1,18,a,0
10,wt,21,M,44,347,927,1,21,a,1
11,wt,21,M,44,278,699,1,18,a,0
12,wt,21,M,44,399,921,1,21,a,1
13,wt,21,M,44,492,665,1,19,a,0
14,wt,21,M,44,285,889,1,21,a,1
15,wt,21,M,44,543,796,1,19,a,0
16,wt,21,M,44,603,942,1,21,a,0
17,wt,21,M,44,223,829,1,23,a,1
18,wt,21,M,44,527,897,1,21,a,0
19,wt,21,M,44,523,696,1,22,a,0
20,wt,21,M,44,161,771,1,23,a,0
21,wt,21,M,44,396,750,1,24,a,1
22,wt,21,M,44,530,915,1,23,a,1
23,wt,21,M,44,437,659,1,22,a,1
24,wt,21,M,44,337,897,1,21,a,0
25,wt,21,M,44,494,778,1,22,a,0
26,wt,21,M,44,592,941,1,23,a,1
27,wt,21,M,44,411,841,1,22,a,1
28,wt,21,M,44,199,653,1,21,a,1
29,wt,21,M,44,143,873,1,20,a,0
30,wt,21,M,44,298,666,1,21,a,0
31,wt,21,M,44,491,651,1,22,a,1
32,wt,21,M,44,482,782,2,128,d,0
33,wt,21,M,44,448,894,2,117,d,0
34,wt,21,M,44,308,704,2,106,d,0
35,wt,21,M,44,326,904,2,95,d,0
36,wt,21,M,44,543,833,2,84,d,1
37,wt,21,M,44,326,724,2,95,d,1
38,wt,21,M,44,248,899,2,106,d,0
39,wt,21,M,44,213,689,2,95,d,1
40,wt,21,M,44,547,731,2,106,d,0
41,wt,21,M,44,483,905,2,95,d,1
42,wt,21,M,44,241,716,2,102,d,0
43,wt,21,M,44,182,899,2,95,d,1
44,wt,21,M,44,460,827,2,102,d,0
45,wt,21,M,44,265,834,2,95,d,0
46,wt,21,M,44,227,908,2,88,d,1
47,wt,21,M,44,479,794,2,95,d,0
48,wt,21,M,44,471,906,2,92,d,0
49,wt,21,M,44,544,683,2,89,d,0
50,wt,21,M,44,226,878,2,86,d,1
51,wt,21,M,44,297,693,2,89,d,1
52,wt,21,M,44,587,819,2,92,d,1
53,wt,21,M,44,494,905,2,95,d,1
54,wt,21,M,44,497,699,2,98,d,0
55,wt,21,M,44,588,871,2,95,d,1
56,wt,21,M,44,393,840,2,98,d,1
57,wt,21,M,44,542,692,2,101,d,1
58,wt,21,M,44,320,786,2,104,d,1
59,wt,21,M,44,553,897,2,107,d,0
60,wt,21,M,44,537,700,2,104,d,0
61,wt,21,M,44,236,844,2,101,d,0
62,wt,21,M,44,503,700,2,98,d,0
63,wt,21,M,44,354,864,2,95,d,1
64,wt,21,M,44,429,810,3,212,d,0
65,wt,21,M,44,383,856,3,193,d,0
66,wt,21,M,44,460,865,3,174,d,0
67,wt,21,M,44,516,875,3,155,d,0
68,wt,21,M,44,425,704,3,136,d,1
69,wt,21,M,44,282,838,3,155,d,0
70,wt,21,M,44,477,812,3,136,d,1
71,wt,21,M,44,410,875,3,155,d,0
72,wt,21,M,44,352,884,3,136,d,1
73,wt,21,M,44,421,703,3,148,d,0
74,wt,21,M,44,295,851,3,136,d,1
75,wt,21,M,44,452,719,3,148,d,1
76,wt,21,M,44,523,872,3,160,d,0
77,wt,21,M,44,521,878,3,148,d,0
78,wt,21,M,44,388,721,3,136,d,1
79,wt,21,M,44,250,865,3,148,d,1
80,wt,21,M,44,394,709,3,160,d,0
81,wt,21,M,44,507,872,3,154,d,0
82,wt,21,M,44,305,843,3,148,d,0
83,wt,21,M,44,389,881,3,142,d,1
84,wt,21,M,44,544,736,3,148,d,1
85,wt,21,M,44,526,875,3,154,d,1
86,wt,21,M,44,236,795,3,160,d,0
87,wt,21,M,44,554,797,3,154,d,0
88,wt,21,M,44,562,878,3,148,d,0
89,wt,21,M,44,320,848,3,142,d,1
90,wt,21,M,44,280,878,3,148,d,1
91,wt,21,M,44,498,735,3,154,d,1
92,wt,21,M,44,228,775,3,160,d,0
93,wt,21,M,44,258,875,3,154,d,0
94,wt,21,M,44,409,715,3,148,d,1
